side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,2.4697913643744944,4.0,1619.57,5267,5273,2025-04-15 23:00:00,2025-04-16 05:00:00,1619.57,1594.39,1.555,58.19,TP,6,2.103,-0.704,33.3,DOWN,0.013404467852578154,0.013404467852578154,0.013404467852578154,58.20340446785258,25
L,200.0,2.2809568614033586,4.0,1753.65,5442,5446,2025-04-23 06:00:00,2025-04-23 10:00:00,1753.65,1761.34,0.439,13.54,MFE,4,2.016,-0.914,24.2,SIDE,-0.2674540260599321,-0.2674540260599321,-0.2674540260599321,13.272545973940067,26
S,200.0,2.249212775528565,4.0,1778.4,5471,5477,2025-04-24 11:00:00,2025-04-24 17:00:00,1778.4,1733.8,2.508,96.31,TP,6,3.215,-0.678,0.0,MILD_UP,0.2854544464687359,0.2854544464687359,0.2854544464687359,96.59545444646874,27
L,200.0,2.2556942180917954,4.0,1773.29,5493,5498,2025-04-25 09:00:00,2025-04-25 14:00:00,1773.29,1766.62,-0.376,-19.05,MH,5,0.936,-2.024,12.1,MILD_UP,0.0,0.0,0.0,-19.05,27
S,200.0,2.2544356020470278,4.0,1774.28,5625,5626,2025-04-30 21:00:00,2025-04-30 22:00:00,1774.28,1740.14,1.924,72.97,TP,1,2.293,-0.05,5.1,UP,0.0,0.0,0.0,72.97,28
S,200.0,2.1845269952923445,4.0,1831.06,5666,5676,2025-05-02 14:00:00,2025-05-03 00:00:00,1831.06,1840.21,-0.5,-23.99,MH,10,1.041,-1.23,17.2,MILD_UP,-0.2535164948085723,-0.2535164948085723,-0.22987671311695063,-24.24351649480857,29
S,200.0,1.5523069221246426,4.0,2576.81,5974,5980,2025-05-15 10:00:00,2025-05-15 16:00:00,2576.81,2529.6,1.832,69.28,TP,6,2.445,-0.794,20.2,UP,0.392688634396793,0.0,0.392688634396793,69.67268863439679,30
S,200.0,1.6107015007711234,4.0,2483.39,6105,6115,2025-05-20 21:00:00,2025-05-21 07:00:00,2483.39,2515.34,-1.287,-55.46,MH,10,1.812,-1.716,24.2,MILD_UP,0.04692236982511809,0.04692236982511809,0.04692236982511809,-55.41307763017488,31
S,200.0,1.5137409837802653,4.0,2642.46,6324,6333,2025-05-30 00:00:00,2025-05-30 09:00:00,2642.46,2572.24,2.657,102.29,TP,9,3.272,-1.15,27.3,MILD_UP,0.29773444623312856,0.29773444623312856,0.6305731866492559,102.58773444623313,32
L,200.0,1.6312548427878146,4.0,2452.1,7135,7141,2025-07-02 19:00:00,2025-07-03 01:00:00,2452.1,2559.78,4.391,171.65,TP,6,4.524,-0.884,2.0,MILD_UP,-0.21338911232090896,-0.21338911232090896,-0.21338911232090896,171.4366108876791,33
