side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
L,200.0,0.9060084213482764,4.0,4414.97,9346,9354,2025-10-02 22:00:00,2025-10-03 06:00:00,4414.97,4466.66,1.171,42.83,MFE,8,2.303,-1.874,8.1,DOWN,-0.15002499229655494,-0.15002499229655494,-0.15002499229655494,42.67997500770344,53
S,200.0,0.9350797506142305,4.0,4277.71,9539,9540,2025-10-10 23:00:00,2025-10-11 00:00:00,4277.71,4100.48,4.143,161.72,TP,1,4.915,-0.086,15.2,MILD_UP,-0.197350176239156,-0.197350176239156,0.0,161.52264982376084,54
S,200.0,0.9831536620016026,4.0,4068.54,9626,9627,2025-10-14 14:00:00,2025-10-14 15:00:00,4068.54,4001.62,1.645,61.79,TP,1,2.56,-0.535,29.3,DOWN,0.0,0.0,0.0,61.79,55
L,200.0,1.028335792769771,4.0,3889.78,9843,9849,2025-10-23 15:00:00,2025-10-23 21:00:00,3889.78,3851.59,-0.982,-43.27,MH,6,0.403,-1.408,0.0,SIDE,-0.16649404600531195,-0.16649404600531195,-0.16649404600531195,-43.436494046005315,56
S,200.0,0.9770347970942985,4.0,4094.02,9959,9969,2025-10-28 11:00:00,2025-10-28 21:00:00,4094.02,4120.0,-0.635,-29.38,MH,10,0.726,-0.988,23.2,MILD_UP,0.18557764336167237,0.18557764336167237,0.18557764336167237,-29.194422356638327,57
L,200.0,0.962213861652891,4.0,4157.08,9970,9975,2025-10-28 22:00:00,2025-10-29 03:00:00,4157.08,4113.19,-1.056,-46.23,MH,5,0.409,-2.191,22.2,MILD_UP,-0.07077322158823021,-0.07077322158823021,-0.07077322158823021,-46.30077322158823,57
S,200.0,1.0483114323603255,4.0,3815.66,10017,10022,2025-10-30 21:00:00,2025-10-31 02:00:00,3815.66,3769.66,1.206,44.22,TP,5,2.35,-0.507,12.1,MILD_UP,-0.25282134794940553,-0.25282134794940553,-0.25282134794940553,43.96717865205059,58
L,200.0,1.1487419839348434,4.0,3482.07,10326,10331,2025-11-12 18:00:00,2025-11-12 23:00:00,3482.07,3500.94,0.542,17.68,MFE,5,3.02,-0.115,19.2,DOWN,0.0,0.0,0.0,17.68,59
S,200.0,1.181502398449869,4.0,3385.52,10356,10358,2025-11-14 00:00:00,2025-11-14 02:00:00,3385.52,3254.4,3.873,150.92,TP,2,3.944,-0.367,33.3,DOWN,0.0,0.0,0.0928553938968949,150.92,60
S,200.0,1.326119244642478,4.0,3016.32,10490,10501,2025-11-19 14:00:00,2025-11-20 01:00:00,3016.32,2948.87,2.236,85.45,TP,11,2.695,-3.204,19.2,DOWN,0.4014001074663037,0.4014001074663037,0.4014001074663037,85.8514001074663,61
S,200.0,1.3538532355400013,4.0,2954.53,10524,10525,2025-11-21 00:00:00,2025-11-21 01:00:00,2954.53,2861.21,3.159,122.34,TP,1,3.673,-0.189,22.2,DOWN,0.0,0.0,0.2715190810044237,122.34,62
L,200.0,1.4226167612706815,4.0,2811.72,10803,10812,2025-12-02 15:00:00,2025-12-03 00:00:00,2811.72,3005.55,6.894,271.75,TP,9,7.622,-1.107,23.2,MILD_UP,-0.3988120990227102,-0.3988120990227102,-0.22149692041317576,271.35118790097727,63
S,200.0,1.2911805909733565,4.0,3097.94,10882,10885,2025-12-05 22:00:00,2025-12-06 01:00:00,3097.94,3031.69,2.139,81.54,TP,3,3.261,-1.906,34.3,MILD_UP,0.1958286109124613,0.1958286109124613,0.1958286109124613,81.73582861091246,64
L,200.0,1.2729691368632767,4.0,3142.26,10949,10952,2025-12-08 17:00:00,2025-12-08 20:00:00,3142.26,3140.61,-0.053,-6.1,MFE,3,1.201,-0.297,8.1,MILD_UP,0.0,0.0,0.0,-6.1,65
S,200.0,1.2665602756035161,4.0,3158.16,11027,11037,2025-12-11 23:00:00,2025-12-12 09:00:00,3158.16,3187.61,-0.933,-41.3,MH,10,0.155,-3.618,0.0,MILD_UP,0.0951403301067214,0.0951403301067214,0.0951403301067214,-41.204859669893274,66
S,200.0,1.3029315960912051,4.0,3070.0,11052,11062,2025-12-13 00:00:00,2025-12-13 10:00:00,3070.0,3083.19,-0.43,-21.19,MH,10,0.941,-0.921,11.1,MILD_UP,0.004298597785016287,-0.005147872022423971,0.004298597785016287,-21.185701402214985,67
L,200.0,1.402952513564797,4.0,2851.13,11190,11194,2025-12-18 18:00:00,2025-12-18 22:00:00,2851.13,2962.87,3.919,152.77,TP,4,4.508,-0.11,1.0,DOWN,0.0,0.0,0.0,152.77,68
L,200.0,1.3541190609184313,4.0,2953.95,11214,11220,2025-12-19 18:00:00,2025-12-20 00:00:00,2953.95,2963.48,0.323,8.9,MFE,6,2.168,-0.422,20.2,DOWN,-0.36903346924344366,-0.36903346924344366,0.0,8.530966530756556,68
