side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,cluster
S,200.0,1.3669185214042354,4.0,2926.29,12053,12063,2026-01-23 17:00:00,2026-01-24 03:00:00,2926.29,2987.18,-2.081,-87.23,MH,10,1.233,-3.218,16.2,DOWN,0.20352057793315084,0.20352057793315084,0.20352057793315084,-87.02647942206686,35
S,200.0,2.0539469157419625,4.0,1947.47,12540,12541,2026-02-13 00:00:00,2026-02-13 01:00:00,1947.47,1907.82,2.036,77.44,TP,1,2.757,-0.079,7.1,DOWN,0.0,-0.16413223336795676,0.0,77.44,36
S,200.0,2.2043425548330213,4.0,1814.6,12826,12836,2026-02-24 22:00:00,2026-02-25 08:00:00,1814.6,1851.09,-2.011,-84.44,MH,10,0.692,-2.754,28.3,DOWN,-0.221247057797029,-0.221247057797029,-0.121071801542207,-84.66124705779703,37
S,200.0,2.020610224287735,4.0,1979.6,12895,12898,2026-02-27 19:00:00,2026-02-27 22:00:00,1979.6,1962.04,0.887,31.48,TP,3,2.202,-0.174,27.3,DOWN,0.0,0.0,0.0,31.48,38
S,200.0,1.9008696478638976,4.0,2104.3,13036,13045,2026-03-05 16:00:00,2026-03-06 01:00:00,2104.3,2079.17,1.194,43.77,TP,9,2.317,-2.79,7.1,MILD_UP,-0.058016553471462624,-0.0914987736337908,-0.058016553471462624,43.71198344652854,39
S,200.0,1.730343300110742,4.0,2311.68,13351,13352,2026-03-18 19:00:00,2026-03-18 20:00:00,2311.68,2268.1,1.885,71.41,TP,1,2.149,-0.292,19.2,UP,0.0,0.0,0.0,71.41,40
S,200.0,1.8880125364032416,4.0,2118.63,13538,13542,2026-03-26 14:00:00,2026-03-26 18:00:00,2118.63,2081.29,1.762,66.5,TP,4,2.154,-0.359,20.2,DOWN,0.028651371912942796,0.028651371912942796,0.028651371912942796,66.52865137191294,41
S,200.0,1.9608900479927838,4.0,2039.89,13566,13567,2026-03-27 18:00:00,2026-03-27 19:00:00,2039.89,1989.7,2.46,94.42,TP,1,2.87,-0.188,26.3,DOWN,0.0,0.0,0.0,94.42,42
S,200.0,1.9744408630281012,4.0,2025.89,13713,13723,2026-04-02 21:00:00,2026-04-03 07:00:00,2025.89,2059.08,-1.638,-69.53,MH,10,0.51,-2.473,23.2,DOWN,-0.29605870102283977,-0.29605870102283977,-0.29605870102283977,-69.82605870102284,43
S,200.0,1.938228652834175,4.0,2063.74,15034,15042,2026-05-27 22:00:00,2026-05-28 06:00:00,2063.74,2020.09,2.115,80.6,TP,8,2.411,-0.769,27.3,DOWN,0.24472139746285873,0.24472139746285873,0.24472139746285873,80.84472139746285,44
S,200.0,2.026917463920869,4.0,1973.44,15178,15179,2026-06-02 22:00:00,2026-06-02 23:00:00,1973.44,1940.66,1.661,62.44,TP,1,2.505,-0.053,24.2,DOWN,0.0,0.0,0.0,62.44,45
S,200.0,2.312780424626486,4.0,1729.52,15239,15242,2026-06-05 11:00:00,2026-06-05 14:00:00,1729.52,1683.37,2.668,102.73,TP,3,2.857,-1.011,3.0,DOWN,0.0,0.0,0.0,102.73,46
S,200.0,2.406738868832732,4.0,1662.0,15333,15343,2026-06-09 09:00:00,2026-06-09 19:00:00,1662.0,1673.69,-0.703,-32.13,MH,10,0.536,-2.046,22.2,DOWN,0.0014548938628158846,0.0014548938628158846,0.0014548938628158846,-32.12854510613719,47
S,200.0,2.3792387625579194,4.0,1681.21,15564,15574,2026-06-19 00:00:00,2026-06-19 10:00:00,1681.21,1712.79,-1.878,-79.14,MH,10,0.633,-2.238,18.2,MILD_UP,0.2665555146229078,0.23891156889334395,0.2665555146229078,-78.87344448537709,48
S,200.0,2.3136365739669613,4.0,1728.88,16043,16051,2026-07-08 23:00:00,2026-07-09 07:00:00,1728.88,1740.5,-0.672,-30.88,MH,8,0.95,-0.979,33.3,UP,0.18078535107253277,0.18078535107253277,0.18078535107253277,-30.699214648927466,49
S,200.0,2.1939326791757394,4.0,1823.21,16250,16260,2026-07-17 14:00:00,2026-07-18 00:00:00,1823.21,1830.2,-0.383,-19.34,MH,10,1.138,-1.066,33.3,MILD_UP,0.28945020661361004,0.191395711519792,0.28945020661361004,-19.05054979338639,50
S,200.0,2.1151375103773935,4.0,1891.13,16548,16558,2026-07-30 00:00:00,2026-07-30 10:00:00,1891.13,1916.28,-1.33,-57.2,MH,10,1.104,-2.32,13.1,MILD_UP,0.15568234944516052,0.15568234944516052,0.24141725196867123,-57.044317650554845,51
S,200.0,1.6059290902010221,4.0,2490.77,17255,17263,2026-08-28 11:00:00,2026-08-28 19:00:00,2490.77,2505.52,-0.592,-27.69,MH,8,0.686,-0.727,17.2,UP,-0.005329760997603151,-0.005329760997603151,-0.005329760997603151,-27.695329760997605,52
