name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours,expectancy,avg_win,avg_loss,mh_pct,tail5_mean,exposure_hours,exposure_pct,position_hours,max_simultaneous
premium_level,0,True,168,4676.556321760898,4676.556321760898,-6.973678239102198,2.631501923712792,61.30952380952381,334.6726848912833,-307.1568125210272,46,-2165.2774056722837,3,-167.78402024567558,1037,27.836644772386297,73.23269994888739,-44.09864266114621,27.38095238095238,-117.3724783574144,1033,5.89645527712769,1037,2
premium_change,0,True,191,4575.354929085827,4575.354929085826,-4.805070914174286,2.304511537283567,58.63874345549738,389.90540464800074,-339.7470812899628,54,-2738.9369570316585,2,-169.89386723817032,1166,23.95473784861689,72.16684669136771,-44.396606333510846,28.272251308900522,-117.6299104237125,1165,6.649922940807124,1166,2
premium_quality,2,True,268,7426.327328066414,7426.327328066414,-8.392671933585234,2.6811072249332293,62.31343283582089,432.97637083770405,-357.3486270670164,77,-3765.5462067888684,2,-167.99400504668492,1629,27.71017659726274,70.92125053200093,-43.737836740373666,28.73134328358209,-110.87152218864762,1620,9.247103145156688,1629,2
premium_both,2,True,218,5403.949882657267,5403.949882657266,-7.080117342733885,2.3702755870640666,60.09174311926605,399.69697006005254,-338.839272996589,61,-2934.001344946382,4,-167.99400504668492,1357,24.788760929620487,71.35607282771397,-45.329835146819114,27.98165137614679,-127.41775887521322,1352,7.717335464352988,1357,2
premium_long,2,True,241,6920.549681013808,6920.549681013808,-5.060318986192009,2.7066002329515046,60.58091286307054,463.24371698759114,-426.8357027583734,72,-3523.0859958343417,1,-167.99400504668492,1497,28.715973780140285,75.17614459726308,-42.685972949332644,29.87551867219917,-106.61615249706735,1489,8.49934356983846,1497,2
premium_short,2,True,243,6024.122428074487,6024.122428074488,-10.147571925512034,2.4480437882337513,62.139917695473244,436.0057355926713,-272.1464872714364,66,-3176.4615559009076,4,-167.99400504668492,1480,24.7906272760267,67.44570971151583,-45.21934498222178,27.160493827160494,-122.5855446441029,1475,8.41943033278155,1480,2
premium_level,2,True,167,4443.182167784048,4443.182167784048,-6.76783221595236,2.493756215354502,61.07784431137725,340.414954607284,-319.1736401942235,47,-2259.150992257319,3,-167.99400504668492,1044,26.605881244215855,72.72240245021963,-45.76158280212854,28.143712574850298,-118.68358062167077,1040,5.9364118956561445,1044,2
premium_change,2,True,190,4356.0493277571395,4356.049327757138,-4.200672242861977,2.2283635870016623,57.89473684210527,399.6969700600523,-355.229057458846,57,-2869.665757743568,2,-170.09385200857201,1170,22.926575409248095,71.8388254531436,-44.32776840110822,30.0,-119.27104036038467,1169,6.672755294251955,1170,2
premium_quality,5,True,266,6829.407747016464,6829.407747016459,-7.982252983540695,2.496054350725384,61.278195488721806,491.8698205508508,-399.9021130713227,78,-3919.4291882101716,2,-168.31398223679395,1628,25.67446521434759,69.90401245206556,-44.31986682204103,29.32330827067669,-113.74933149933725,1620,9.247103145156688,1628,2
premium_both,5,True,218,4887.856093799653,4887.856093799655,-7.133906200344257,2.1845178697162524,59.63302752293578,414.34933448026754,-371.6904041967655,63,-3109.480475049769,4,-168.31398223679395,1364,22.421358228438788,69.34083123927371,-46.89149962847645,28.89908256880734,-129.9231680022154,1359,7.757292082881443,1364,2
premium_long,5,True,241,6328.82635024957,6328.826350249567,-5.113649750432949,2.481836772797629,60.16597510373444,516.1071644979947,-463.336763852426,74,-3732.4947491446,1,-168.31398223679395,1505,26.260690249998206,73.10179223719149,-44.48889087649167,30.70539419087137,-109.69303216594702,1497,8.545008276728124,1505,2
premium_short,5,True,241,5505.5423095013675,5505.542309501368,-9.737690498631412,2.288055640073365,60.99585062240664,422.50899733224196,-308.2557534156622,67,-3296.4149141153407,4,-168.31398223679395,1478,22.844573898345928,66.52957166894096,-45.47132687056332,27.800829875518673,-125.07473500200491,1473,8.408014156059137,1478,2
premium_level,5,True,164,3772.8844794353945,3772.884479435395,-6.7455205646048135,2.234847914740921,60.97560975609756,351.8248822445671,-337.22328683247633,50,-2399.8785678341865,3,-168.31398223679395,1028,23.005393167288993,68.28227922459281,-47.739741297248244,30.48780487804878,-120.65134512703351,1024,5.84508248187682,1028,2
premium_change,5,True,189,4018.716211348705,4018.7162113487047,-4.663788651295004,2.1109602649082184,57.67195767195767,414.34933448026754,-378.440535887396,58,-2936.482670464027,2,-170.4138291527467,1165,21.263048737294735,70.05552198880734,-45.21669606789119,30.687830687830687,-120.92227378905059,1164,6.644214852445916,1165,2
