side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
S,200.0,1.3031922345381128,4.0,3069.386,11052.0,11056.0,2025-12-13 00:00:00,2025-12-13 04:00:00,3069.39,3072.55,-0.103,-8.13,ACX,4.0,0.922,-0.941,11.1,MILD_UP,0.0,-0.009448359479336126,0.0,-8.13,200.0,1.3031922345381128,4.0,3069.386,11052.0,11062.0,2025-12-13 10:00:00,3069.39,3083.81,-0.47,-22.79,MH,10.0,0.922,-0.941,11.1,MILD_UP,0.0042994576765515964,-0.00514890180278453,0.0042994576765515964,-22.785700542323447,both
S,200.0,1.3523161082826338,4.0,2957.888304,11307.0,11312.0,2025-12-23 15:00:00,2025-12-23 20:00:00,2957.89,2972.65,-0.499,-23.97,ACX,5.0,0.226,-0.56,28.3,DOWN,0.27212170618867293,0.27212170618867293,0.27212170618867293,-23.697878293811325,200.0,1.3523161082826338,4.0,2957.888304,11307.0,11318.0,2025-12-24 02:00:00,2957.89,2909.98,1.62,60.78,BE,11.0,1.981,-0.56,28.3,DOWN,0.3766455878171768,0.3766455878171768,0.3766455878171768,61.15664558781718,both
S,200.0,1.3710714356811684,4.0,2917.426398,11334.0,11338.0,2025-12-24 18:00:00,2025-12-24 22:00:00,2917.43,2930.33,-0.442,-21.69,ACX,4.0,0.014,-0.683,29.3,DOWN,0.0,0.0,0.0,-21.69,200.0,1.3710714356811684,4.0,2917.426398,11334.0,11344.0,2025-12-25 04:00:00,2917.43,2945.37,-0.958,-42.31,MH,10.0,1.051,-1.281,29.3,DOWN,0.2257012021100604,0.2257012021100604,0.2257012021100604,-42.08429879788994,both
S,200.0,1.3657637906129367,4.0,2928.76413,11357.0,11361.0,2025-12-25 17:00:00,2025-12-25 21:00:00,2928.76,2927.19,0.054,-1.84,ACX,4.0,0.636,-0.058,0.0,DOWN,0.0,0.0,0.0,-1.84,200.0,1.3657637906129367,4.0,2928.76413,11357.0,11367.0,2025-12-26 03:00:00,2928.76,2958.48,-1.015,-44.59,MH,10.0,0.636,-1.408,0.0,DOWN,0.20088494596524575,0.20088494596524575,0.20088494596524575,-44.38911505403476,both
S,200.0,1.2889217297839255,4.0,3103.369202,11691.0,11701.0,2026-01-08 15:00:00,2026-01-09 01:00:00,3103.37,3121.44,-0.582,-27.3,MH,10.0,1.641,-1.042,28.3,MILD_UP,0.3105571859528407,0.3105571859528407,0.3105571859528407,-26.98944281404716,200.0,1.2889217297839255,4.0,3103.369202,11691.0,11701.0,2026-01-09 01:00:00,3103.37,3121.44,-0.582,-27.3,MH,10.0,1.641,-1.042,28.3,MILD_UP,0.3105571859528407,0.3105571859528407,0.3105571859528407,-26.98944281404716,both
S,200.0,1.2260959596057683,4.0,3262.387392,11892.0,11898.0,2026-01-17 00:00:00,2026-01-17 06:00:00,3262.39,3293.53,-0.955,-42.18,ACX,6.0,0.134,-1.101,4.0,MILD_UP,0.0,0.0,0.11070247968883765,-42.18,200.0,1.2260959596057683,4.0,3262.387392,11892.0,11902.0,2026-01-17 10:00:00,3262.39,3289.92,-0.844,-37.75,MH,10.0,0.134,-1.118,4.0,MILD_UP,0.3381554263927219,0.3381554263927219,0.4488579060815595,-37.411844573607276,both
S,200.0,1.2552278128051575,4.0,3186.672538,11971.0,11975.0,2026-01-20 07:00:00,2026-01-20 11:00:00,3186.67,3191.86,-0.163,-10.51,ACX,4.0,0.68,-0.41,11.1,MILD_UP,0.34460229049848,0.34460229049848,0.34460229049848,-10.16539770950152,200.0,1.2552278128051575,4.0,3186.672538,11971.0,11979.0,2026-01-20 15:00:00,3186.67,3115.82,2.223,84.93,TP,8.0,2.511,-0.41,11.1,MILD_UP,0.34460229049848,0.34460229049848,0.34460229049848,85.27460229049849,both
S,200.0,1.3654980886959391,4.0,2929.3340160000002,12009.0,12012.0,2026-01-21 21:00:00,2026-01-22 00:00:00,2929.33,3001.82,-2.474,-102.98,ACX,3.0,0.347,-3.302,22.2,MILD_UP,0.04561252273390457,0.0,0.04561252273390457,-102.9343874772661,200.0,1.3654980886959391,4.0,2929.3340160000002,12009.0,12014.0,2026-01-22 02:00:00,2929.33,2902.59,0.913,32.52,TP,5.0,2.22,-3.302,22.2,MILD_UP,0.04561252273390457,0.04561252273390457,0.04561252273390457,32.56561252273391,both
S,,,,,,,2026-01-23 17:00:00,,,,,,,,,,,,,,,,200.0,1.3671919597961948,4.0,2925.704742,12053.0,12063.0,2026-01-24 03:00:00,2925.7,2987.78,-2.122,-88.87,MH,10.0,1.214,-3.238,16.2,DOWN,0.2035612901911891,0.2035612901911891,0.2035612901911891,-88.66643870980882,right_only
S,,,,,,,2026-01-29 23:00:00,,,,,,,,,,,,,,,,200.0,1.3916843178221736,4.0,2874.215042,12203.0,12204.0,2026-01-30 00:00:00,2874.22,2823.21,1.774,66.98,TP,1.0,2.755,-0.062,11.1,DOWN,-0.045847900059000524,-0.045847900059000524,0.0,66.934152099941,right_only
S,200.0,1.7464031987847493,4.0,2290.421824,12318.0,12322.0,2026-02-03 18:00:00,2026-02-03 22:00:00,2290.42,2311.52,-0.921,-40.85,ACX,4.0,0.923,-1.132,21.2,DOWN,0.0,0.0,0.0,-40.85,200.0,1.7464031987847493,4.0,2290.421824,12318.0,12325.0,2026-02-04 01:00:00,2290.42,2240.33,2.187,83.48,TP,7.0,2.456,-1.132,21.2,DOWN,-0.1569341102020589,-0.1569341102020589,-0.1569341102020589,83.32306588979795,both
S,200.0,1.8207635483370679,4.0,2196.880536,12346.0,12348.0,2026-02-04 22:00:00,2026-02-05 00:00:00,2196.88,2150.87,2.094,79.77,TP,2.0,2.817,-1.308,16.2,DOWN,-0.23949186040954026,-0.23949186040954026,0.0,79.53050813959045,200.0,1.8207635483370679,4.0,2196.880536,12346.0,12348.0,2026-02-05 00:00:00,2196.88,2150.87,2.094,79.77,TP,2.0,2.817,-1.308,16.2,DOWN,-0.23949186040954026,-0.23949186040954026,0.0,79.53050813959045,both
