side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
L,200.0,0.8868680123115018,4.0,4510.254,9359,9360,2025-10-03 11:00:00,2025-10-03 12:00:00,4510.25,4496.71,-0.3,-16.01,MFE,1,1.081,-0.504,1.0,SIDE,0.0,0.0,0.0,-16.01
S,200.0,0.8574222065226311,4.0,4665.1462599999995,9459,9463,2025-10-07 15:00:00,2025-10-07 19:00:00,4665.15,4692.43,-0.585,-27.39,ACX,4,0.625,-0.657,20.2,UP,0.40100178981312373,0.40100178981312373,0.40100178981312373,-26.988998210186878
S,200.0,0.9009802267309307,4.0,4439.609085,9480,9484,2025-10-08 12:00:00,2025-10-08 16:00:00,4439.61,4463.31,-0.534,-25.35,ACX,4,0.696,-0.553,27.3,UP,0.24268804324243787,0.0,0.24268804324243787,-25.107311956757563
S,200.0,0.9073268553492481,4.0,4408.554620000001,9503,9506,2025-10-09 11:00:00,2025-10-09 14:00:00,4408.55,4454.76,-1.048,-45.92,ACX,3,0.0,-1.14,25.3,UP,0.0,0.0,0.0,-45.92
S,200.0,0.9355475243764187,4.0,4275.571145,9539,9540,2025-10-10 23:00:00,2025-10-11 00:00:00,4275.57,4102.53,4.047,157.89,TP,1,4.868,-0.136,15.2,MILD_UP,-0.19744890068950074,-0.19744890068950074,0.0,157.6925510993105
S,200.0,0.9836454847439745,4.0,4066.5057300000003,9626,9627,2025-10-14 14:00:00,2025-10-14 15:00:00,4066.51,4003.62,1.546,57.86,TP,1,2.511,-0.585,29.3,DOWN,0.0,0.0,0.0,57.86
L,200.0,0.989609106852076,4.0,4041.99999,9675,9681,2025-10-16 15:00:00,2025-10-16 21:00:00,4042.0,4050.5,0.21,4.42,MFE,6,1.171,-2.59,17.2,DOWN,-0.030307639551143593,-0.030307639551143593,-0.030307639551143593,4.389692360448857
S,200.0,1.0479871687071032,4.0,3816.8406250000003,9699,9701,2025-10-17 15:00:00,2025-10-17 17:00:00,3816.84,3709.22,2.82,108.78,TP,2,2.988,-0.166,5.1,DOWN,0.22155535540381333,0.22155535540381333,0.22155535540381333,109.00155535540381
L,200.0,0.9948889396398319,4.0,4020.5492699999995,9763,9766,2025-10-20 07:00:00,2025-10-20 10:00:00,4020.55,3934.17,-2.148,-89.94,ACX,3,0.0,-2.827,16.2,DOWN,-0.0982602983992917,-0.0982602983992917,-0.0982602983992917,-90.0382602983993
S,200.0,1.0205515364372126,4.0,3919.449295,9792,9794,2025-10-21 12:00:00,2025-10-21 14:00:00,3919.45,3863.97,1.415,52.62,TP,2,2.073,-0.05,33.3,DOWN,0.0,0.0,0.0,52.62
S,200.0,1.0433751431968803,4.0,3833.7121850000003,9822,9825,2025-10-22 18:00:00,2025-10-22 21:00:00,3833.71,3846.71,-0.339,-17.56,ACX,3,1.792,-0.564,21.2,DOWN,0.0,0.0,0.0,-17.56
L,200.0,1.0278218818288567,4.0,3891.72489,9843,9848,2025-10-23 15:00:00,2025-10-23 20:00:00,3891.72,3859.93,-0.817,-36.68,ACX,5,0.353,-0.889,0.0,SIDE,-0.16641084058501948,-0.16641084058501948,-0.16641084058501948,-36.84641084058502
