side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net
L,200.0,2.0874974558624757,4.0,1916.17,4422,4426,2025-03-11 18:00:00,2025-03-11 22:00:00,1916.17,1902.49,-0.714,-32.56,MFE,4,2.797,-2.673,10.1,DOWN,0.0,0.0,0.0,-32.56
L,200.0,2.111029601912593,4.0,1894.81,4490,4497,2025-03-14 14:00:00,2025-03-14 21:00:00,1894.81,1901.8,0.369,10.76,BE,7,0.707,-0.393,23.2,DOWN,-0.3068054428676227,-0.3068054428676227,-0.3068054428676227,10.453194557132377
S,200.0,2.108048000252966,4.0,1897.49,4587,4599,2025-03-18 15:00:00,2025-03-19 03:00:00,1897.49,1889.46,0.423,12.93,MHx,12,1.389,-0.781,24.2,DOWN,0.22259508748136309,0.22259508748136309,0.22259508748136309,13.152595087481362
L,200.0,2.0274928024005514,4.0,1972.88,4615,4617,2025-03-19 19:00:00,2025-03-19 21:00:00,1972.88,2003.11,1.532,57.29,MFE,2,3.034,-0.009,20.2,DOWN,0.0,0.0,0.0,57.29
S,200.0,1.9840187291368032,4.0,2016.11,4634,4639,2025-03-20 14:00:00,2025-03-20 19:00:00,2016.11,1981.71,1.706,64.25,TP,5,2.272,-0.271,26.3,DOWN,0.06182297414327591,0.06182297414327591,0.06182297414327591,64.31182297414328
S,200.0,1.9732525615284815,4.0,2027.11,4786,4792,2025-03-26 22:00:00,2025-03-27 04:00:00,2027.11,1998.9,1.392,51.67,TP,6,2.304,-0.482,10.1,MILD_UP,-0.08872842717927198,-0.08872842717927198,-0.08872842717927198,51.58127157282073
S,200.0,2.0009804804354134,4.0,1999.02,4824,4825,2025-03-28 12:00:00,2025-03-28 13:00:00,1999.02,1936.31,3.137,121.48,TP,1,5.119,-0.243,25.3,MILD_UP,0.0,0.0,0.0,121.48
L,200.0,2.154243860404998,4.0,1856.8,4923,4927,2025-04-01 15:00:00,2025-04-01 19:00:00,1856.8,1872.49,0.845,29.8,MFE,4,1.864,-0.288,4.0,DOWN,-0.11486887725464735,-0.11486887725464735,-0.11486887725464735,29.685131122745354
S,200.0,2.1562412402699613,4.0,1855.08,4946,4956,2025-04-02 14:00:00,2025-04-03 00:00:00,1855.08,1900.09,-2.426,-101.05,MH,10,0.237,-3.392,24.2,DOWN,0.17280833721456645,-0.0018089558401804772,0.17280833721456645,-100.87719166278544
S,200.0,2.2316571728251104,4.0,1792.39,4975,4977,2025-04-03 19:00:00,2025-04-03 21:00:00,1792.39,1758.57,1.887,71.47,TP,2,2.506,-0.526,4.0,DOWN,0.0,0.0,0.0,71.47
L,200.0,2.2015763286513144,4.0,1816.88,4996,5002,2025-04-04 16:00:00,2025-04-04 22:00:00,1816.88,1801.33,-0.856,-38.23,MH,6,0.981,-3.267,10.1,DOWN,0.0,0.0,0.08371953921007441,-38.23
L,200.0,2.54741373820229,4.0,1570.22,5081,5087,2025-04-08 05:00:00,2025-04-08 11:00:00,1570.22,1588.95,1.193,43.71,MFE,6,3.043,-1.912,15.2,DOWN,0.017321616588758266,0.017321616588758266,0.017321616588758266,43.72732161658876
S,200.0,2.613798240913784,4.0,1530.34,5099,5101,2025-04-08 23:00:00,2025-04-09 01:00:00,1530.34,1486.0,2.897,111.9,TP,2,3.208,-0.531,26.3,DOWN,-0.05718054314727447,-0.05718054314727447,-0.05718054314727447,111.84281945685274
L,200.0,2.6928229536228567,4.0,1485.43,5119,5123,2025-04-09 19:00:00,2025-04-09 23:00:00,1485.43,1470.35,-1.015,-44.61,MFE,4,1.05,-3.124,23.2,DOWN,0.0,0.0,0.0,-44.61
S,200.0,2.512562814070352,4.0,1592.0,5141,5146,2025-04-10 17:00:00,2025-04-10 22:00:00,1592.0,1568.24,1.492,55.7,TP,5,2.324,-2.237,17.2,DOWN,0.0,0.0,0.0,55.7
L,200.0,2.577336194176509,4.0,1551.99,5164,5165,2025-04-11 16:00:00,2025-04-11 17:00:00,1551.99,1550.79,-0.077,-7.09,MFE,1,1.31,-1.0,6.1,DOWN,0.0,0.0,0.23428000000000002,-7.09
L,200.0,2.442643673247556,4.0,1637.57,5237,5240,2025-04-14 17:00:00,2025-04-14 20:00:00,1637.57,1674.63,2.263,86.52,MFE,3,3.298,-0.426,9.1,DOWN,0.0,0.0,0.0,86.52
L,200.0,2.4276116549635556,4.0,1647.71,5262,5267,2025-04-15 18:00:00,2025-04-15 23:00:00,1647.71,1619.57,-1.708,-72.31,MH,5,0.787,-2.895,0.0,DOWN,0.0,0.0,0.0,-72.31
S,200.0,2.4697913643744944,4.0,1619.57,5267,5273,2025-04-15 23:00:00,2025-04-16 05:00:00,1619.57,1594.39,1.555,58.19,TP,6,2.103,-0.704,33.3,DOWN,0.013404467852578154,0.013404467852578154,0.013404467852578154,58.20340446785258
L,200.0,2.502674733621558,4.0,1598.29,5306,5312,2025-04-17 14:00:00,2025-04-17 20:00:00,1598.29,1592.5,-0.362,-18.49,MH,6,0.726,-0.663,2.0,DOWN,-0.20771029437711555,-0.20771029437711555,-0.20771029437711555,-18.697710294377114
L,200.0,2.5158973262301165,4.0,1589.89,5336,5343,2025-04-18 20:00:00,2025-04-19 03:00:00,1589.89,1592.72,0.178,3.12,BE,7,0.424,-0.776,23.2,SIDE,0.05939702858873406,0.05939702858873406,0.05939702858873406,3.1793970285887343
L,200.0,2.4355937673155497,4.0,1642.31,5434,5436,2025-04-22 22:00:00,2025-04-23 00:00:00,1642.31,1702.41,3.659,142.38,TP,2,5.092,-0.315,22.2,SIDE,-0.33599588129401886,-0.33599588129401886,0.0,142.04400411870597
L,200.0,2.2809568614033586,4.0,1753.65,5442,5446,2025-04-23 06:00:00,2025-04-23 10:00:00,1753.65,1761.34,0.439,13.54,MFE,4,2.016,-0.914,24.2,SIDE,-0.2674540260599321,-0.2674540260599321,-0.2674540260599321,13.272545973940067
S,200.0,2.249212775528565,4.0,1778.4,5471,5477,2025-04-24 11:00:00,2025-04-24 17:00:00,1778.4,1733.8,2.508,96.31,TP,6,3.215,-0.678,0.0,MILD_UP,0.2854544464687359,0.2854544464687359,0.2854544464687359,96.59545444646874
L,200.0,2.2556942180917954,4.0,1773.29,5493,5498,2025-04-25 09:00:00,2025-04-25 14:00:00,1773.29,1766.62,-0.376,-19.05,MH,5,0.936,-2.024,12.1,MILD_UP,0.0,0.0,0.0,-19.05
S,200.0,2.293854191158339,4.0,1743.79,5495,5505,2025-04-25 11:00:00,2025-04-25 21:00:00,1743.79,1772.0,-1.618,-68.71,MH,10,0.275,-3.338,32.3,MILD_UP,0.3190509789118724,0.3190509789118724,0.3190509789118724,-68.39094902108812
S,200.0,2.2544356020470278,4.0,1774.28,5625,5626,2025-04-30 21:00:00,2025-04-30 22:00:00,1774.28,1740.14,1.924,72.97,TP,1,2.293,-0.05,5.1,UP,0.0,0.0,0.0,72.97
S,200.0,2.1845269952923445,4.0,1831.06,5666,5676,2025-05-02 14:00:00,2025-05-03 00:00:00,1831.06,1840.21,-0.5,-23.99,MH,10,1.041,-1.23,17.2,MILD_UP,-0.2535164948085723,-0.2535164948085723,-0.22987671311695063,-24.24351649480857
L,200.0,2.170138888888889,4.0,1843.2,5790,5796,2025-05-07 18:00:00,2025-05-08 00:00:00,1843.2,1816.73,-1.436,-61.44,MH,6,0.179,-1.619,2.0,SIDE,0.025547765624999996,0.0,0.025547765624999996,-61.414452234375
L,200.0,1.7730968022199172,4.0,2255.94,5835,5836,2025-05-09 15:00:00,2025-05-09 16:00:00,2255.94,2363.81,4.782,187.26,TP,1,6.105,-0.032,16.2,MILD_UP,-0.41919909217443724,-0.41919909217443724,0.0,186.84080090782555
S,200.0,1.5523069221246426,4.0,2576.81,5974,5980,2025-05-15 10:00:00,2025-05-15 16:00:00,2576.81,2529.6,1.832,69.28,TP,6,2.445,-0.794,20.2,UP,0.392688634396793,0.0,0.392688634396793,69.67268863439679
S,200.0,1.6107015007711234,4.0,2483.39,6105,6115,2025-05-20 21:00:00,2025-05-21 07:00:00,2483.39,2515.34,-1.287,-55.46,MH,10,1.812,-1.716,24.2,MILD_UP,0.04692236982511809,0.04692236982511809,0.04692236982511809,-55.41307763017488
L,200.0,1.5183665412748966,4.0,2634.41,6148,6150,2025-05-22 16:00:00,2025-05-22 18:00:00,2634.41,2664.36,1.137,41.48,MFE,2,2.209,-0.304,16.2,SIDE,0.0,-0.3999104163740649,0.0,41.48
L,200.0,1.4954389113204725,4.0,2674.8,6166,6167,2025-05-23 10:00:00,2025-05-23 11:00:00,2674.8,2704.83,1.123,40.91,MFE,1,2.224,-0.133,24.2,SIDE,0.0,0.0,0.0,40.91
S,200.0,1.518810467641743,4.0,2633.64,6286,6296,2025-05-28 10:00:00,2025-05-28 20:00:00,2633.64,2655.99,-0.849,-37.95,MH,10,1.049,-0.961,29.3,MILD_UP,0.4002612354004344,0.4002612354004344,0.4002612354004344,-37.54973876459957
S,200.0,1.5137409837802653,4.0,2642.46,6324,6333,2025-05-30 00:00:00,2025-05-30 09:00:00,2642.46,2572.24,2.657,102.29,TP,9,3.272,-1.15,27.3,MILD_UP,0.29773444623312856,0.29773444623312856,0.6305731866492559,102.58773444623313
L,200.0,1.513637877274241,4.0,2642.64,6462,6470,2025-06-04 18:00:00,2025-06-05 02:00:00,2642.64,2634.09,-0.324,-16.94,MFE,8,1.4,-1.871,14.1,SIDE,-0.31878104123149575,-0.31878104123149575,-0.31878104123149575,-17.258781041231497
L,200.0,1.598631571374903,4.0,2502.14,6514,6516,2025-06-06 22:00:00,2025-06-07 00:00:00,2502.14,2508.29,0.246,5.83,MFE,2,1.1,-0.359,8.1,SIDE,-0.10763518254203648,-0.10763518254203648,0.0,5.722364817457963
L,200.0,1.4424862693338238,4.0,2772.99,6608,6613,2025-06-10 20:00:00,2025-06-11 01:00:00,2772.99,2729.74,-1.56,-66.39,MH,5,0.199,-3.046,21.2,SIDE,-0.394062726515422,-0.394062726515422,-0.394062726515422,-66.78406272651543
