name,side,origin_bar,outcome,matched_baseline,baseline_net
wait6,L,16195,expired,True,-17.484150813836656
wait6,S,16228,expired,True,75.96
wait6,S,16250,expired,True,-19.05054979338639
wait6,L,16341,second_entry,True,52.36329893309847
wait6,S,16371,second_entry,True,-71.53129226295898
wait6,S,16396,second_entry,True,72.9212869674764
wait6,L,16420,expired,True,-73.83
wait6,S,16426,expired,True,-11.774269760284156
wait6,S,16548,second_entry,True,-57.044317650554845
wait6,L,16567,second_entry,True,0.9103785384182008
wait6,L,16874,second_entry,True,16.188383034854816
wait6,L,17012,expired,True,-41.91
wait6,L,17071,second_entry,True,12.2
wait6,L,17086,cross_blocked,True,17.30788007891263
wait6,S,17201,expired,True,-37.57390587939637
wait6,S,17255,second_entry,True,-27.695329760997605
wait6,L,17490,second_entry,True,1.489193586772778
wait12,S,381,second_entry,True,-33.06697761076196
wait12,S,417,second_entry,True,60.30062107569949
wait12,L,555,expired,True,-118.87835224213303
wait12,S,562,expired,True,83.43868175993198
wait12,L,622,cross_blocked,False,
wait12,L,626,second_entry,False,
wait12,L,730,cross_blocked,False,
wait12,L,742,expired,False,
wait12,S,748,second_entry,True,30.184195827172665
wait12,L,790,second_entry,False,
wait12,L,883,expired,False,
wait12,S,890,second_entry,True,30.899750260145684
wait12,L,920,expired,False,
wait12,L,934,second_entry,False,
wait12,L,958,second_entry,False,
wait12,S,1053,expired,True,4.56132973810542
wait12,S,1084,expired,True,92.57039151128552
wait12,L,1229,second_entry,False,
wait12,S,1277,second_entry,True,119.11
wait12,S,1294,expired,True,-26.319584650201666
wait12,L,1305,expired,True,35.7
wait12,L,1396,expired,True,-5.85
wait12,L,1428,expired,True,150.87
wait12,L,1471,second_entry,True,-19.5
wait12,S,1584,expired,True,79.16
wait12,S,1618,expired,True,109.26871198326111
wait12,S,1732,second_entry,True,-32.708625455419465
wait12,L,1784,expired,True,171.29
wait12,L,1876,expired,True,117.02
wait12,S,1900,expired,True,86.53
wait12,L,1927,expired,True,145.74423707527825
wait12,S,2070,second_entry,True,67.74
wait12,L,2083,second_entry,True,12.434559852911391
wait12,L,2118,cross_blocked,True,-25.40629451882355
wait12,S,2128,second_entry,True,25.4
wait12,S,2241,second_entry,True,114.86800046183971
wait12,L,2259,second_entry,True,117.09032214101276
wait12,L,2279,expired,True,25.26
wait12,L,2579,second_entry,True,24.178519545118508
wait12,L,2598,expired,True,18.45
wait12,S,2621,expired,True,39.61048804353377
wait12,S,2910,expired,True,96.76
wait12,S,2931,second_entry,True,-9.929805066018863
wait12,L,3070,expired,True,128.91884421936194
wait12,L,3149,expired,True,12.67829237499633
wait12,S,3268,second_entry,True,42.61885241412881
wait12,L,3408,expired,True,-11.361495806184626
wait12,L,3456,expired,True,21.671323681459864
wait12,L,3568,second_entry,True,148.92
wait12,L,3608,second_entry,True,-22.32
wait12,S,3635,expired,True,57.80491671542466
wait12,L,3658,expired,True,-150.13304620269395
wait12,L,3725,second_entry,True,5.37
wait12,S,3754,cross_blocked,True,68.75002274953377
wait12,L,3787,second_entry,True,-38.370646
wait12,S,3800,expired,True,-20.379039543491245
wait12,L,3814,expired,True,20.1
wait12,L,3939,second_entry,True,3.9080765193054
wait12,L,3967,second_entry,True,-19.10307913903424
wait12,S,3972,expired,True,-46.725689097206086
wait12,L,3986,second_entry,True,33.095048655712
wait12,S,4113,expired,True,-8.57
wait12,L,4134,expired,True,-65.3080305389704
wait12,S,4139,cross_blocked,True,87.0323945055605
wait12,S,4144,second_entry,False,
wait12,S,4240,expired,True,95.66441467629858
wait12,L,4275,cross_blocked,True,84.18188921242474
wait12,L,4396,second_entry,True,47.64
wait12,L,4422,second_entry,True,-32.56
wait12,L,4490,expired,True,10.453194557132376
wait12,S,4587,second_entry,True,13.152595087481362
wait12,L,4615,expired,True,57.29
wait12,S,4634,expired,True,64.31182297414328
wait12,S,4786,expired,True,51.58127157282073
wait12,S,4824,expired,True,121.48
wait12,L,4923,expired,True,29.685131122745357
wait12,S,4946,second_entry,True,-100.87719166278544
wait12,L,4996,cross_blocked,True,-38.23
wait12,L,5081,second_entry,True,43.72732161658876
