name,side,origin_bar,original_exit_bar,original_reason,original_net,retry_entry_bar,retry_net,retry_reason
outside12,S,15730,15740,MH,-82.370157490192,15748,77.83,TP
outside12,S,15845,15849,TP,75.48,15857,-4.034567537023049,MH
outside12,L,15894,15898,TP,160.44,15904,6.606424079274105,MFE
outside12,L,16183,16185,TP,131.9,16192,7.15,MFE
outside12,S,16228,16233,TP,75.96,16241,98.46461890740152,TP
outside12,L,16341,16350,MHx,52.36329893309847,16356,-27.08,MH
outside12,S,16396,16406,TP,72.9212869674764,16414,-27.578085642855616,MH
outside12,L,17012,17018,MH,-41.91,17028,-15.83,MH
outside12,L,17071,17072,MFE,12.2,17080,57.61822188503134,MFE
outside12,S,17201,17209,MH,-37.57390587939637,17217,-31.87256968247759,MH
outside24,S,381,391,MH,-33.06697761076196,405,19.827431897911517,MHx
outside24,S,562,564,TP,83.43868175993198,572,-11.401818621276616,MH
outside24,S,748,759,BE,30.184195827172665,767,16.540162038812905,BE
outside24,S,890,900,TP,30.899750260145684,908,-23.830059864116663,MH
outside24,S,1053,1063,MHx,4.56132973810542,1072,35.375288407283136,MHx
outside24,S,1277,1283,TP,119.11,1291,14.549508545075724,TP
outside24,L,1396,1402,MH,-5.85,1411,73.85148585899012,MFE
outside24,L,1428,1435,TP,150.87,1442,-72.55127159988031,MH
outside24,S,1584,1586,TP,79.16,1594,55.730889716565976,TP
outside24,S,1618,1620,TP,109.26871198326111,1628,-17.489095497659285,BE
outside24,S,1732,1743,BE,-32.708625455419465,1751,-7.224080769828523,MH
outside24,L,1784,1785,TP,171.29,1792,-35.99074656819871,MH
outside24,L,1876,1879,TP,117.02,1888,-33.07,MFE
outside24,S,1900,1903,TP,86.53,1912,-163.94113131044753,SN
outside24,S,2070,2074,TP,67.74,2082,-117.09604756944472,MH
outside24,L,2083,2087,MFE,12.434559852911391,2093,12.32,MFE
outside24,S,2128,2131,TP,25.4,2145,-177.71,SN
outside24,L,2259,2268,TP,117.09032214101276,2274,79.73966202710577,MFE
outside24,L,2579,2581,MFE,24.178519545118508,2587,-8.16820797163015,MH
outside24,L,2599,2604,MH,-51.29956731902684,2612,-67.16,MH
outside24,S,2910,2915,TP,96.76,2923,99.62454900734436,TP
outside24,L,3070,3078,MHx,128.91884421936194,3084,28.48840879122666,MHx
outside24,S,3268,3279,BE,42.61885241412881,3287,-16.52881459230664,BE
outside24,L,3456,3464,MHx,21.671323681459864,3472,-4.972660425740122,MH
outside24,L,3568,3571,TP,148.92,3583,8.74,MFE
outside24,L,3608,3611,MFE,-22.32,3618,59.94235844715258,MHx
outside24,S,3635,3636,TP,57.80491671542466,3644,-81.65265304959956,MH
outside24,L,3725,3731,MFE,5.37,3737,11.702683165282728,MFE
outside24,S,3754,3763,TP,68.75002274953377,3771,-0.2951364644813996,TP
outside24,L,3814,3817,MFE,20.1,3823,73.56301011465327,MFE
outside24,L,3939,3945,MFE,3.9080765193054,3952,39.40829045451571,MHx
outside24,L,3967,3974,MH,-19.10307913903424,3984,50.5139050711773,MFE
outside24,S,4113,4115,TP,-8.57,4123,-9.189930378399724,MH
outside24,S,4144,4145,TP,59.02,4154,38.68,TP
outside24,S,4240,4246,TP,95.66441467629858,4254,14.27,TP
outside24,L,4275,4278,MFE,84.18188921242474,4288,32.08191345522442,MFE
outside24,L,4422,4426,MFE,-32.56,4432,-67.53591793956917,MH
outside24,L,4615,4617,MFE,57.29,4624,0.1890125036011661,MFE
outside24,S,4634,4639,TP,64.31182297414328,4648,-1.0996577359473003,BE
outside24,S,4786,4792,TP,51.58127157282073,4800,52.32634699411909,TP
outside24,S,4824,4825,TP,121.48,4833,-40.79408634691872,MH
outside24,L,4923,4927,MFE,29.685131122745357,4936,-40.62666106268856,MH
outside24,S,4946,4956,MH,-100.87719166278544,4964,-40.28146616050456,MH
outside24,L,5081,5087,MFE,43.72732161658876,5096,-145.26,SN
outside24,S,5099,5101,TP,111.84281945685274,5109,84.65,TP
outside24,S,5141,5146,TP,55.7,5154,-77.6352423646323,MH
outside24,S,5267,5273,TP,58.20340446785258,5282,-58.78994508942078,MH
outside24,S,5471,5477,TP,96.59545444646874,5488,-13.772234158244476,MH
outside24,S,5625,5626,TP,72.97,5634,-51.09264195385642,MH
outside24,L,5790,5796,MH,-61.414452234375,5808,53.05428249277559,MFE
outside24,L,5835,5836,TP,186.84080090782555,5842,-150.8,SN
outside24,S,5974,5980,TP,69.67268863439679,5988,47.71,TP
outside24,L,6148,6150,MFE,41.48,6156,-46.62,MH
outside24,S,6286,6296,MH,-37.54973876459957,6304,-163.60022194318603,SN
outside24,S,6647,6659,BE,-13.152449101698666,6667,162.42505481310005,TP
outside24,L,7135,7141,TP,171.4366108876791,7147,-12.86626439249284,MH
outside24,L,7274,7283,MFE,14.598468474864688,7289,5.982622786630886,MFE
outside24,L,7305,7312,TP,153.03961944791274,7318,19.167017577359747,MFE
outside24,S,7638,7642,TP,73.53,7650,-2.026003977742071,TP
outside24,L,7779,7783,MFE,-3.3750996282391914,7799,-31.90323575212841,MH
outside24,S,7835,7844,TP,70.15538225460736,7852,51.3,TP
outside24,S,7948,7960,MHx,42.104159480764565,7968,-24.85683737109229,MH
outside24,L,7970,7976,MH,-25.25810911720312,7984,-22.109025517738218,MH
outside24,L,7996,8001,TP,155.38,8008,29.86769464444156,MFE
outside24,S,8167,8169,TP,114.36,8177,-84.3287971634186,MH
outside24,L,8309,8316,MFE,11.235773093488566,8322,-47.0289640921659,MH
outside24,L,8646,8654,MHx,106.13932753908308,8660,-71.81,MH
outside24,S,8666,8677,TP,67.33012066117392,8685,-105.96198556112046,MH
outside24,L,8813,8819,MFE,60.12,8825,71.83611273852325,MHx
outside24,L,8851,8854,MFE,36.4154382598818,8860,14.36,BE
outside24,S,8962,8972,MH,-28.80125801781819,8982,-23.473972990465334,MH
outside24,L,8975,8981,BE,-20.96498356164868,8994,49.32121155872617,MFE
outside24,S,9162,9167,TP,37.53528688209362,9175,30.89,TP
outside24,L,9317,9325,MHx,26.470002936510344,9331,16.920030008050016,MFE
outside24,L,9359,9360,MFE,-12.02,9372,-12.78,MFE
outside24,S,9459,9468,TP,131.48734078306495,9476,-17.537647726912834,MH
outside24,S,9503,9509,TP,72.62093198287823,9520,-11.846701986207576,MH
outside24,S,9626,9627,TP,61.79,9635,-173.17911820472625,SN
outside24,L,9763,9770,MHx,36.43169057145151,9776,-86.82818081539324,MH
outside24,S,9792,9793,TP,69.64,9801,-176.82,SN
outside24,L,9843,9849,MH,-43.43649404600532,9856,28.87450078144297,MHx
outside24,S,9822,9834,TP,93.17578202527356,9857,-165.87422143019324,SN
outside24,S,9959,9969,MH,-29.194422356638327,9977,-50.29639006460206,MH
outside24,S,10017,10022,TP,43.96717865205059,10030,-31.42020359732908,MH
outside24,L,10161,10167,TP,135.42378202999805,10173,-26.2,MFE
outside24,S,10179,10188,TP,94.95194227347687,10196,62.68367009943672,TP
outside24,S,10306,10310,TP,63.50143455484156,10318,-123.05673424530757,MH
outside24,L,10326,10331,MFE,17.68,10346,-9.871187210487376,MFE
outside24,S,10356,10358,TP,150.92,10366,50.76,TP
outside24,L,10471,10478,MFE,86.84972659898285,10484,-151.29,SN
outside24,S,10490,10501,TP,85.8514001074663,10509,-9.53435051634556,BE
outside24,L,10803,10812,TP,271.35118790097727,10818,91.35203104043288,MHx
outside24,S,10858,10864,TP,61.67965362546105,10872,58.50116800073195,TP
outside24,L,10949,10952,MFE,-6.1,10962,-53.6498591868078,MH
outside24,L,11190,11194,TP,152.77,11208,54.644289881526426,MFE
