side,margin,qty_exact,fee_exact,entry_exact,entry_bar,exit_bar,entry_dt,exit_dt,entry_price,exit_price,pnl_pct,pnl,reason_code,bars_held,mfe_pct,mae_pct,gk_pctile,regime_code,funding,funding_low,funding_high,net,valid,F45,F15,F60,R15,strong,weak,divergent,V45,V15,B45,B15
S,200.0,1.5523069221246426,4.0,2576.81,5974,5980,2025-05-15 10:00:00,2025-05-15 16:00:00,2576.81,2529.6,1.832,69.28,TP,6,2.445,-0.794,20.2,UP,0.392688634396793,0.0,0.392688634396793,69.67268863439679,True,0.07064719926713936,0.10911300167716964,0.08490876689165205,0.005956215642781371,True,False,False,215988.718,127264.412,100364.86000000002,56689.104999999996
S,200.0,1.6107015007711234,4.0,2483.39,6105,6115,2025-05-20 21:00:00,2025-05-21 07:00:00,2483.39,2515.34,-1.287,-55.46,MH,10,1.812,-1.716,24.2,MILD_UP,0.04692236982511809,0.04692236982511809,0.04692236982511809,-55.41307763017488,True,0.17825035459234295,-0.012186732113354415,0.1349744238374837,0.0012266533678674252,False,False,False,286938.65499999997,84380.53700000001,117895.869,42704.43
L,200.0,1.5183665412748966,4.0,2634.41,6148,6150,2025-05-22 16:00:00,2025-05-22 18:00:00,2634.41,2664.36,1.137,41.48,MFE,2,2.209,-0.304,16.2,SIDE,0.0,-0.3999104163740649,0.0,41.48,True,0.06609278074415981,0.06078732660374708,0.06521638737510038,0.0026031656625702393,False,False,False,234477.727,46396.907999999996,124987.506,24608.626
L,200.0,1.4954389113204725,4.0,2674.8,6166,6167,2025-05-23 10:00:00,2025-05-23 11:00:00,2674.8,2704.83,1.123,40.91,MFE,1,2.224,-0.133,24.2,SIDE,0.0,0.0,0.0,40.91,True,0.024254954842341414,-0.06674411333218322,0.009392678477466943,-0.0009897477077068784,False,True,False,252150.25300000003,49220.97,129133.073,22967.880000000005
S,200.0,1.518810467641743,4.0,2633.64,6286,6296,2025-05-28 10:00:00,2025-05-28 20:00:00,2633.64,2655.99,-0.849,-37.95,MH,10,1.049,-0.961,29.3,MILD_UP,0.4002612354004344,0.4002612354004344,0.4002612354004344,-37.54973876459957,True,0.015667726330571785,0.21146302035529518,0.06992338685972499,0.002159630816795266,True,False,False,106648.595,40881.058000000005,52488.827000000005,16118.113
S,200.0,1.5137409837802653,4.0,2642.46,6324,6333,2025-05-30 00:00:00,2025-05-30 09:00:00,2642.46,2572.24,2.657,102.29,TP,9,3.272,-1.15,27.3,MILD_UP,0.29773444623312856,0.29773444623312856,0.6305731866492559,102.58773444623313,True,0.18427883970995707,-0.11902413463597239,0.09134703881570638,0.0024161337330022015,False,False,False,219625.189,97019.777,89576.457,54283.736000000004
L,200.0,1.513637877274241,4.0,2642.64,6462,6470,2025-06-04 18:00:00,2025-06-05 02:00:00,2642.64,2634.09,-0.324,-16.94,MFE,8,1.4,-1.871,14.1,SIDE,-0.31878104123149575,-0.31878104123149575,-0.31878104123149575,-17.258781041231497,True,-0.047978442114810615,0.08594851706734818,0.006856842876458824,0.002074193169192551,True,False,False,88906.68,61640.156,42320.538,33469.018000000004
L,200.0,1.598631571374903,4.0,2502.14,6514,6516,2025-06-06 22:00:00,2025-06-07 00:00:00,2502.14,2508.29,0.246,5.83,MFE,2,1.1,-0.359,8.1,SIDE,-0.10763518254203648,-0.10763518254203648,0.0,5.722364817457963,True,0.12589341443016555,0.08681572960534933,0.10998848738154798,0.0014448495715480014,False,False,False,304828.01800000004,209222.71899999998,171601.929,113693.271
L,200.0,1.4424862693338238,4.0,2772.99,6608,6613,2025-06-10 20:00:00,2025-06-11 01:00:00,2772.99,2729.74,-1.56,-66.39,MH,5,0.199,-3.046,21.2,SIDE,-0.394062726515422,-0.394062726515422,-0.394062726515422,-66.78406272651543,True,0.12263231887758885,-0.183718416500129,0.05219750156121594,-0.00566553953506721,False,True,False,932095.006,278285.33999999997,523199.98900000006,113579.59899999999
S,200.0,1.450920790606739,4.0,2756.87,6647,6659,2025-06-12 11:00:00,2025-06-12 23:00:00,2756.87,2763.45,-0.239,-13.55,BE,12,1.672,-0.706,34.3,MILD_UP,0.3975508983013346,0.3975508983013346,0.3975508983013346,-13.152449101698666,True,-0.041124727598872646,0.22001984752560078,0.057284369307810334,0.003502544676421304,True,False,False,103759.666,62745.353,54013.377,24470.065000000002
L,200.0,1.6312548427878146,4.0,2452.1,7135,7141,2025-07-02 19:00:00,2025-07-03 01:00:00,2452.1,2559.78,4.391,171.65,TP,6,4.524,-0.884,2.0,MILD_UP,-0.21338911232090896,-0.21338911232090896,-0.21338911232090896,171.4366108876791,True,0.047942975892955264,-0.08692674254396104,0.02551550296956062,0.0004283878337854041,False,False,False,91865.428,18323.268,48134.865000000005,8365.243
S,200.0,1.5577901189372758,4.0,2567.74,7178,7187,2025-07-04 14:00:00,2025-07-04 23:00:00,2567.74,2515.37,2.04,77.58,TP,9,2.855,-0.049,4.0,MILD_UP,0.26126456666173375,0.26126456666173375,0.26126456666173375,77.84126456666174,True,-0.11782702092110364,0.3957683917772249,0.14598593932612036,0.0033225944183520317,True,False,False,81846.973,86444.392,45745.379,26116.217
L,200.0,1.5680186907827942,4.0,2550.99,7274,7283,2025-07-08 14:00:00,2025-07-08 23:00:00,2550.99,2562.92,0.468,14.71,MFE,9,1.921,-0.352,13.1,MILD_UP,-0.11153152513531406,-0.11153152513531406,-0.11153152513531406,14.598468474864687,True,-0.0185509313592247,0.1691664160826174,0.052058646778291306,0.0009770453207769147,True,False,False,68298.835,41180.461,33515.914,24073.406000000003
L,200.0,1.504324934185784,4.0,2659.0,7305,7312,2025-07-09 21:00:00,2025-07-10 04:00:00,2659.0,2763.56,3.932,153.29,TP,7,5.142,-1.166,9.1,MILD_UP,-0.25038055208725085,-0.25038055208725085,-0.25038055208725085,153.03961944791274,True,0.1189054888840122,-0.024746776562643458,0.09599905958970245,-0.0005487772791171741,False,True,False,546929.4110000001,103756.786,305981.16,50594.56999999999
L,200.0,1.4377163313792372,4.0,2782.19,7319,7324,2025-07-10 11:00:00,2025-07-10 16:00:00,2782.19,2789.54,0.264,6.57,MFE,5,1.439,-0.638,8.1,MILD_UP,-0.1126254680487242,-0.1126254680487242,0.0,6.457374531951276,True,-0.0077179311789987715,-0.15899986249398723,-0.023998002718846,0.0015515429032211259,False,False,False,238269.68099999998,28733.288999999997,118215.366,12082.35
L,200.0,1.3316022504078031,4.0,3003.9,7346,7350,2025-07-11 14:00:00,2025-07-11 18:00:00,3003.9,3014.86,0.365,10.59,MFE,4,1.233,-1.444,7.1,MILD_UP,-0.39526615399980025,-0.39526615399980025,-0.39526615399980025,10.194733846000199,True,0.07727362032667306,-0.08283939622463621,0.029579993866780008,-0.001781168792327703,False,True,False,613797.798,260402.079,330614.088,119415.264
S,200.0,1.3442531497531616,4.0,2975.63,7438,7447,2025-07-15 10:00:00,2025-07-15 19:00:00,2975.63,2973.1,0.085,-0.6,BE,9,1.5,-0.629,26.3,UP,0.4000967862267823,0.4000967862267823,0.4000967862267823,-0.19990321377321768,True,0.07056661392352093,0.19094295414209284,0.09738071840142493,0.00624513664158588,True,False,False,284022.371,81398.285,131989.93699999998,32927.928
S,200.0,1.0963589917882712,4.0,3648.44,7618,7626,2025-07-22 22:00:00,2025-07-23 06:00:00,3648.44,3705.11,-1.553,-66.13,MH,8,0.615,-2.784,28.3,UP,0.40760296914407257,0.40760296914407257,0.40760296914407257,-65.72239703085592,True,0.10820871674961441,0.1345553438552678,0.12422425068517884,0.01198045863708741,True,False,False,266526.458,413176.36600000004,118842.98599999999,178790.63900000002
S,200.0,1.093631238482696,4.0,3657.54,7638,7642,2025-07-23 18:00:00,2025-07-23 22:00:00,3657.54,3586.65,1.938,73.53,TP,4,2.12,-0.615,15.2,UP,0.0,0.0,0.0,73.53,True,0.06368205868974441,0.1430853291324058,0.07467642049494427,0.0006366346345635376,True,False,False,225295.91999999998,36208.513,105474.30600000001,15513.803000000002
S,200.0,1.1067701127798746,4.0,3614.12,7679,7687,2025-07-25 11:00:00,2025-07-25 19:00:00,3614.12,3718.2,-2.88,-119.19,MH,8,1.217,-3.661,9.1,UP,0.4019420623864178,0.4019420623864178,0.4019420623864178,-118.78805793761359,True,0.16183496726662627,0.1419202143874282,0.15144884304987005,0.008085454415712068,False,False,False,203840.737,222184.66999999998,85426.089,95326.087
L,200.0,1.045005786719544,4.0,3827.73,7779,7783,2025-07-29 15:00:00,2025-07-29 19:00:00,3827.73,3828.72,0.026,-2.97,MFE,4,1.507,-0.124,15.2,MILD_UP,-0.4050996282391914,-0.4050996282391914,-0.4050996282391914,-3.3750996282391914,True,0.11948031079744248,0.042022145103555175,0.09115218165015393,0.0020078218666723657,False,False,False,179741.89099999997,103638.26000000001,100608.754,53996.681
S,200.0,1.0647897971841633,4.0,3756.61,7808,7816,2025-07-30 20:00:00,2025-07-31 04:00:00,3756.61,3758.7,-0.056,-6.23,TP,8,2.306,-1.979,30.3,MILD_UP,0.062241972416620314,0.062241972416620314,0.062241972416620314,-6.16775802758338,True,-0.007015220497497143,0.03680230394860062,0.006509068702207688,-0.0017065710986852167,True,True,True,222285.244,99238.32500000001,111922.31199999999,47793.063
L,200.0,1.0360037192533522,4.0,3860.99,7823,7831,2025-07-31 11:00:00,2025-07-31 19:00:00,3860.99,3853.74,-0.188,-11.51,BE,8,0.441,-0.254,4.0,MILD_UP,-0.4001364280373687,-0.4001364280373687,-0.4001364280373687,-11.910136428037369,True,0.19641634927344054,0.06962796866528964,0.16028563768723814,0.00019169742892288788,False,False,False,123896.78399999999,49377.829999999994,74116.069,26407.953999999998
S,200.0,1.107493299665537,4.0,3611.76,7948,7960,2025-08-05 16:00:00,2025-08-06 04:00:00,3611.76,3570.18,1.151,42.05,MHx,12,1.572,-2.23,30.3,DOWN,0.054159480764570174,0.054159480764570174,0.178799135669658,42.104159480764565,True,0.17725531186058674,-0.05682028647602122,0.12451557233434829,-0.0007647547797173804,False,True,False,324951.723,94508.992,133676.152,49939.51
L,200.0,1.0997500817939123,4.0,3637.19,7970,7976,2025-08-06 14:00:00,2025-08-06 20:00:00,3637.19,3618.16,-0.523,-24.93,MH,6,0.297,-0.803,13.1,DOWN,-0.3281091172031156,-0.3281091172031156,-0.3281091172031156,-25.258109117203116,True,0.09817144492707985,-0.12544775129509955,0.05621926532459365,-0.002465594128649662,False,True,False,360018.853,83138.788,197681.212,36354.606999999996
L,200.0,1.0807889759524454,4.0,3701.0,7996,8001,2025-08-07 16:00:00,2025-08-07 21:00:00,3701.0,3848.47,3.985,155.38,TP,5,4.026,-0.003,17.2,DOWN,0.0,-0.17140000000000002,0.0,155.38,True,-0.01586654276766941,-0.0059902119682613275,-0.013695151618623114,0.0009059808256595137,False,False,False,80523.65400000001,22693.019999999997,39623.011,11278.542000000001
L,200.0,1.0002625689243427,4.0,3998.95,8026,8033,2025-08-08 22:00:00,2025-08-09 05:00:00,3998.95,4056.82,1.447,53.89,MHx,7,1.777,-1.849,5.1,DOWN,-0.3954043585091087,-0.3954043585091087,-0.3954043585091087,53.49459564149089,True,0.12690439813064813,0.055255548155236145,0.07352048078834605,0.01596758212443783,False,False,False,196825.44,575272.476,110901.727,303529.736
S,200.0,0.8496555708729574,4.0,4707.79,8167,8169,2025-08-14 19:00:00,2025-08-14 21:00:00,4707.79,4568.49,2.959,114.36,TP,2,4.499,-0.62,19.2,UP,0.0,0.0,0.0,114.36,True,0.21580963088526595,-0.03265562948679812,0.14564965356335857,-0.0004335121925305163,False,True,False,381019.11699999997,149924.288,149395.761,77410.08
S,200.0,0.890521511660266,4.0,4491.75,8195,8196,2025-08-15 23:00:00,2025-08-16 00:00:00,4491.75,4428.72,1.403,52.13,TP,1,2.209,-0.151,6.1,UP,0.255332073350977,0.0,0.255332073350977,52.38533207335098,True,-0.011670260515062925,0.09688559208698477,0.03507672791849992,0.007674820887707656,True,False,False,474806.71,359103.57,240173.914,162155.804
L,200.0,0.9440753372119095,4.0,4236.95,8309,8316,2025-08-20 17:00:00,2025-08-21 00:00:00,4236.95,4253.47,0.39,11.6,MFE,7,1.643,-3.13,5.1,MILD_UP,-0.3642269065114339,-0.3642269065114339,0.0,11.235773093488566,True,0.1061644388197247,0.050202277303533105,0.09482315112709427,0.0013778857607442685,False,False,False,257570.956,65466.811,142457.916,34376.697
L,200.0,0.9242720779715926,4.0,4327.73,8357,8363,2025-08-22 17:00:00,2025-08-22 23:00:00,4327.73,4611.8,6.564,258.56,TP,6,7.329,-2.813,22.2,DOWN,0.0,0.0,0.0,258.56,True,-0.002648686865494798,-0.09566243664263463,-0.026741398918539994,-0.0031602344838707053,False,True,False,153730.139,53739.411,76661.478,24299.284
L,200.0,0.8679519588590772,4.0,4608.55,8503,8510,2025-08-28 19:00:00,2025-08-29 02:00:00,4608.55,4488.01,-2.616,-108.62,MH,7,0.095,-3.31,6.1,MILD_UP,-0.08498856361512841,-0.08498856361512841,-0.08498856361512841,-108.70498856361513,True,0.08742391597365207,-0.04833951048356566,0.0676631311227398,0.0012057353899630474,False,False,False,103236.19,17586.049,56130.751,8367.974
L,200.0,0.9195571412807592,4.0,4349.92,8646,8654,2025-09-03 18:00:00,2025-09-04 02:00:00,4349.92,4469.84,2.757,106.27,MHx,8,3.183,-0.238,9.1,DOWN,-0.13067246091691267,-0.13067246091691267,-0.13067246091691267,106.13932753908308,True,0.09729515137065459,0.04478033438902296,0.07592598187343036,0.0027801727118903496,False,False,False,89988.215,61741.320999999996,49371.816,32253.059
S,200.0,0.9147436088007482,4.0,4372.81,8666,8677,2025-09-04 14:00:00,2025-09-05 01:00:00,4372.81,4294.64,1.788,67.51,TP,11,2.046,-1.354,26.3,DOWN,-0.17987933882608392,-0.17987933882608392,-0.17987933882608392,67.33012066117392,True,0.10704643120791701,-0.16584091241648768,0.06433164684603687,-0.0020486403123833874,False,True,False,207514.93300000002,38510.045,92650.6,22448.292999999998
L,200.0,0.9060022650056625,4.0,4415.0,8692,8698,2025-09-05 16:00:00,2025-09-05 22:00:00,4415.0,4441.23,0.594,19.76,MFE,6,1.8,-1.008,23.2,DOWN,0.0,0.0,0.1382511639840413,19.76,True,0.13254247402153418,-0.03491310307199014,0.0705925188467662,0.004354096809270569,False,False,False,329819.134,193660.586,186767.08899999998,93449.647
L,200.0,0.9237853954147911,4.0,4330.01,8813,8819,2025-09-10 17:00:00,2025-09-10 23:00:00,4330.01,4399.42,1.603,60.12,MFE,6,2.853,-0.564,21.2,DOWN,0.0,0.0,0.0,60.12,True,-0.12439206338011932,0.00044628759502129967,-0.09562734719291,0.0006493806618599329,True,False,False,89373.00899999999,26758.53,39127.85800000001,13385.236
