bar,decision_ts,daily_debit,L_month_debit,S_month_debit
4475,2025-03-13 23:00:00,0.0,-0.288110787575258,-0.1755853237014234
4476,2025-03-14 00:00:00,0.0,-0.288110787575258,-0.1755853237014234
4477,2025-03-14 01:00:00,0.0,-0.288110787575258,-0.1755853237014234
4478,2025-03-14 02:00:00,0.0,-0.288110787575258,-0.1755853237014234
4479,2025-03-14 03:00:00,0.0,-0.288110787575258,-0.1755853237014234
4480,2025-03-14 04:00:00,0.0,-0.288110787575258,-0.1755853237014234
4481,2025-03-14 05:00:00,0.0,-0.288110787575258,-0.1755853237014234
4482,2025-03-14 06:00:00,0.0,-0.288110787575258,-0.1755853237014234
4483,2025-03-14 07:00:00,0.0,-0.288110787575258,-0.1755853237014234
4484,2025-03-14 08:00:00,0.0,-0.288110787575258,-0.1755853237014234
4485,2025-03-14 09:00:00,0.0,-0.288110787575258,-0.1755853237014234
4486,2025-03-14 10:00:00,0.0,-0.288110787575258,-0.1755853237014234
4487,2025-03-14 11:00:00,0.0,-0.288110787575258,-0.1755853237014234
4488,2025-03-14 12:00:00,0.0,-0.288110787575258,-0.1755853237014234
4489,2025-03-14 13:00:00,0.0,-0.288110787575258,-0.1755853237014234
4490,2025-03-14 14:00:00,0.0,-0.288110787575258,-0.1755853237014234
4491,2025-03-14 15:00:00,0.0,-0.288110787575258,-0.1755853237014234
4492,2025-03-14 16:00:00,0.0,-0.288110787575258,-0.1755853237014234
4493,2025-03-14 17:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4494,2025-03-14 18:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4495,2025-03-14 19:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4496,2025-03-14 20:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4497,2025-03-14 21:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4498,2025-03-14 22:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4499,2025-03-14 23:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4500,2025-03-15 00:00:00,-0.3068054428676227,-0.5949162304428807,-0.1755853237014234
4501,2025-03-15 01:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4502,2025-03-15 02:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4503,2025-03-15 03:00:00,0.0,-0.5949162304428807,-0.1755853237014234
4504,2025-03-15 04:00:00,0.0,-0.5949162304428807,-0.1755853237014234
