side,margin_c,qty_exact_c,fee_exact_c,entry_exact_c,entry_bar_c,exit_bar_c,entry_dt,exit_dt_c,entry_price_c,exit_price_c,pnl_pct_c,pnl_c,reason_code_c,bars_held_c,mfe_pct_c,mae_pct_c,gk_pctile_c,regime_code_c,funding_c,funding_low_c,funding_high_c,net_c,margin_b,qty_exact_b,fee_exact_b,entry_exact_b,entry_bar_b,exit_bar_b,exit_dt_b,entry_price_b,exit_price_b,pnl_pct_b,pnl_b,reason_code_b,bars_held_b,mfe_pct_b,mae_pct_b,gk_pctile_b,regime_code_b,funding_b,funding_low_b,funding_high_b,net_b,_merge
L,,,,,,,2025-05-09 15:00:00,,,,,,,,,,,,,,,,200.0,1.7722106968714815,4.0,2257.06797,5835.0,5836.0,2025-05-09 16:00:00,2257.07,2362.63,4.677,183.07,TP,1.0,6.052,-0.082,16.2,MILD_UP,-0.41898959737574937,-0.41898959737574937,0.0,182.65101040262425,right_only
L,,,,,,,2025-05-22 16:00:00,,,,,,,,,,,,,,,,200.0,1.5176077374061936,4.0,2635.7272049999997,6148.0,6150.0,2025-05-22 18:00:00,2635.73,2663.03,1.036,37.43,MFE,2.0,2.158,-0.353,16.2,SIDE,0.0,-0.39971056109351816,0.0,37.43,right_only
L,,,,,,,2025-05-23 10:00:00,,,,,,,,,,,,,,,,200.0,1.4946915655377038,4.0,2676.1374,6166.0,6167.0,2025-05-23 11:00:00,2676.14,2703.48,1.022,36.87,MFE,1.0,2.173,-0.183,24.2,SIDE,0.0,0.0,0.0,36.87,right_only
L,200.0,1.512881436555963,4.0,2643.96132,6462.0,6467.0,2025-06-04 18:00:00,2025-06-04 23:00:00,2643.96,2637.99,-0.226,-13.03,MH,5.0,0.205,-1.92,14.1,SIDE,0.0,0.0,0.0,-13.03,200.0,1.512881436555963,4.0,2643.96132,6462.0,6470.0,2025-06-05 02:00:00,2643.96,2632.77,-0.423,-20.93,MFE,8.0,1.349,-1.92,14.1,SIDE,-0.31862173036631264,-0.31862173036631264,-0.31862173036631264,-21.248621730366313,both
L,200.0,1.5978326550473796,4.0,2503.3910699999997,6514.0,6516.0,2025-06-06 22:00:00,2025-06-07 00:00:00,2503.39,2507.04,0.146,1.82,MFE,2.0,1.05,-0.409,8.1,SIDE,-0.10758139184611344,-0.10758139184611344,0.0,1.7124186081538866,200.0,1.5978326550473796,4.0,2503.3910699999997,6514.0,6516.0,2025-06-07 00:00:00,2503.39,2507.04,0.146,1.82,MFE,2.0,1.05,-0.409,8.1,SIDE,-0.10758139184611344,-0.10758139184611344,0.0,1.7124186081538866,both
L,200.0,1.4417653866405038,4.0,2774.3764949999995,6608.0,6611.0,2025-06-10 20:00:00,2025-06-10 23:00:00,2774.38,2733.77,-1.464,-62.54,MH,3.0,0.149,-2.068,21.2,SIDE,0.0,0.0,0.0,-62.54,200.0,1.4417653866405038,4.0,2774.3764949999995,6608.0,6613.0,2025-06-11 01:00:00,2774.38,2728.38,-1.658,-70.32,MH,5.0,0.149,-3.094,21.2,SIDE,-0.39386579361861274,-0.39386579361861274,-0.39386579361861274,-70.71386579361861,both
L,200.0,1.5676836869575062,4.0,2551.53513,6684.0,6685.0,2025-06-14 00:00:00,2025-06-14 01:00:00,2551.54,2559.35,0.306,8.25,MFE,1.0,1.312,-0.335,17.2,MILD_UP,0.0,-0.08327836081959021,0.0,8.25,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.5756600388201274,4.0,2538.6186749999997,6822.0,6830.0,2025-06-19 18:00:00,2025-06-20 02:00:00,2538.62,2506.19,-1.278,-55.1,MH,8.0,0.212,-2.168,1.0,SIDE,-0.19172472005863583,-0.19172472005863583,-0.19172472005863583,-55.29172472005864,,,,,,,,,,,,,,,,,,,,,,left_only
L,200.0,1.6304396229763265,4.0,2453.3260499999997,7135.0,7141.0,2025-07-02 19:00:00,2025-07-03 01:00:00,2453.33,2558.5,4.287,167.48,TP,6.0,4.472,-0.934,2.0,MILD_UP,-0.21328247108536627,-0.21328247108536627,-0.21328247108536627,167.26671752891463,200.0,1.6304396229763265,4.0,2453.3260499999997,7135.0,7141.0,2025-07-03 01:00:00,2453.33,2558.5,4.287,167.48,TP,6.0,4.472,-0.934,2.0,MILD_UP,-0.21328247108536627,-0.21328247108536627,-0.21328247108536627,167.26671752891463,both
L,200.0,1.5672350732461713,4.0,2552.2654949999996,7274.0,7283.0,2025-07-08 14:00:00,2025-07-08 23:00:00,2552.27,2561.64,0.367,10.69,MFE,9.0,1.87,-0.402,13.1,MILD_UP,-0.11147578724169323,-0.11147578724169323,-0.11147578724169323,10.578524212758307,200.0,1.5672350732461713,4.0,2552.2654949999996,7274.0,7283.0,2025-07-08 23:00:00,2552.27,2561.64,0.367,10.69,MFE,9.0,1.87,-0.402,13.1,MILD_UP,-0.11147578724169323,-0.11147578724169323,-0.11147578724169323,10.578524212758307,both
L,200.0,1.5035731476119782,4.0,2660.3295,7305.0,7311.0,2025-07-09 21:00:00,2025-07-10 03:00:00,2660.33,2715.53,2.075,79.0,BE,6.0,2.384,-1.215,9.1,MILD_UP,-0.2502554243750634,-0.2502554243750634,-0.2502554243750634,78.74974457562493,200.0,1.5035731476119782,4.0,2660.3295,7305.0,7312.0,2025-07-10 04:00:00,2660.33,2762.18,3.828,149.14,TP,7.0,5.09,-1.215,9.1,MILD_UP,-0.2502554243750634,-0.2502554243750634,-0.2502554243750634,148.88974457562492,both
