name,slip,historical,n,net_pnl,closed_net,funding,pf,wr,mdd,worst30,mh,mh_net,sn,worst_trade,hours
quality,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
m5_w30,5,False,198,3136.3509282754108,3136.3509282754094,-2.539071724590528,1.816775936541769,55.05050505050505,317.10378392595453,-269.64630564941444,66,-2917.3269436040214,3,-168.31398223679395,1252
m5_w60,5,False,74,452.72744712574314,452.72744712574297,2.1474471257430783,1.2235164471863598,55.4054054054054,518.009631547341,-426.7665468091252,25,-1451.6836981481715,3,-166.0048922956842,479
m15_w30,5,False,227,4968.418432395667,4968.418432395668,-4.6815676043324075,2.2077742876769637,58.14977973568281,505.193103956414,-408.3557678449465,71,-3296.3821009731887,3,-168.31398223679395,1425
m15_w60,5,False,143,1789.8375951221087,1789.8375951221085,-4.402404877891858,1.6160359961787314,54.54545454545454,366.30321655069815,-338.7268022446388,44,-1994.4227916101445,4,-170.4138291527467,884
m30_w30,5,False,267,7018.892180315112,7018.892180315107,-6.867819684892545,2.6579915992489056,61.42322097378277,400.3716378349627,-340.7502925427889,78,-3593.178874164472,2,-168.31398223679395,1632
m30_w60,5,False,189,3185.3359939920792,3185.3359939920783,-3.1340060079212693,1.9031531429842328,56.613756613756614,449.5893033561184,-408.3557678449464,59,-2704.4297193961816,3,-168.31398223679395,1197
base,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
quality,0,True,269,7869.645330759005,7869.645330759002,-8.504669240997945,2.8363730639878653,63.19702602230484,393.7191407811524,-328.9853117125922,75,-3623.2799577435007,2,-167.78402024567558,1631
m5_w30,0,True,201,3742.1977201689397,3742.1977201689424,-4.682279831057988,1.9812656698984485,56.71641791044776,310.46118703399156,-229.53036801804,60,-2762.8775841237652,3,-167.78402024567558,1253
m5_w60,0,True,77,869.30050933809,869.3005093380899,2.1505093380897753,1.4314285859381046,55.84415584415584,501.21747595935994,-416.05379353572016,24,-1395.7834237897207,3,-169.89386723817032,487
