side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars,rsi_entry,atr_pctile_entry
short,67804.378884,2026-02-27 04:05:00+00:00,67993.45495542858,2026-02-27 04:15:00+00:00,stop_loss,-7.177105034825072,False,2,74.35435393473264,38.306573035738495
short,67920.987222,2026-02-27 04:15:00+00:00,68128.5229362857,2026-02-27 04:20:00+00:00,stop_loss,-7.711092396445267,False,1,78.97608763366436,47.32055744932145
short,68143.185,2026-02-27 04:20:00+00:00,67836.9250271128,2026-02-27 05:40:00+00:00,adaptive_trail,7.647302071741034,True,16,57.89791320318327,36.252019924366444
long,67258.295157,2026-02-27 10:05:00+00:00,67010.42229985715,2026-02-27 10:10:00+00:00,stop_loss,-8.970774313093878,False,1,30.021387984242637,91.94661757938331
long,66880.997431,2026-02-27 10:15:00+00:00,66595.41135957143,2026-02-27 10:50:00+00:00,stop_loss,-10.140125966966947,False,7,27.579066365010434,96.68574580396064
long,66009.190259,2026-02-27 11:45:00+00:00,66009.190259,2026-02-27 12:10:00+00:00,breakeven_sl,-0.341927738450464,True,5,32.09893175090869,73.21066560868566
long,66129.392278,2026-02-27 11:40:00+00:00,65861.43227800001,2026-02-27 12:35:00+00:00,stop_loss,-9.704111977122677,False,11,34.50747619817457,71.48289893218218
long,65500.759420999995,2026-02-27 16:50:00+00:00,65248.34799242857,2026-02-27 17:20:00+00:00,stop_loss,-9.30712983490995,False,6,32.83916829510582,43.41227841878338
long,64992.538604,2026-02-27 22:35:00+00:00,65332.74870988829,2026-02-27 22:40:00+00:00,adaptive_trail,8.91177528875444,True,1,41.321088207914435,36.51638124085731
long,64950.484399,2026-02-28 06:20:00+00:00,64747.04582757143,2026-02-28 06:25:00+00:00,stop_loss,-7.864420452319196,False,1,16.144917092400718,83.42122910107469
long,64966.926043,2026-02-28 06:25:00+00:00,64723.39032871429,2026-02-28 06:30:00+00:00,stop_loss,-9.097221405381559,False,1,11.152914671180781,100.0
long,64576.667021,2026-02-28 06:30:00+00:00,64272.02237814286,2026-02-28 06:35:00+00:00,stop_loss,-11.035130579225298,False,1,7.92450356152176,100.0
long,64099.659325,2026-02-28 06:35:00+00:00,63745.69575357143,2026-02-28 06:40:00+00:00,stop_loss,-12.644163889667245,False,1,6.605343441213805,100.0
long,63793.318694,2026-02-28 06:40:00+00:00,63372.733694,2026-02-28 06:55:00+00:00,stop_loss,-14.78586361739342,False,3,13.976241042834118,100.0
long,63406.930059,2026-02-28 06:55:00+00:00,63406.930059,2026-02-28 07:20:00+00:00,breakeven_sl,0.18937161861453444,True,5,31.12306816376615,100.0
short,64527.74658,2026-02-28 13:50:00+00:00,64772.49836571429,2026-02-28 13:55:00+00:00,stop_loss,-9.185939341949616,False,1,78.34204580782544,36.533797715837125
short,64865.932757999995,2026-02-28 13:55:00+00:00,65176.75954371428,2026-02-28 14:00:00+00:00,stop_loss,-11.18366811355074,False,1,81.50349447020982,44.70999241461165
short,65099.939354999995,2026-02-28 14:00:00+00:00,65099.939354999995,2026-02-28 14:35:00+00:00,breakeven_sl,-0.14262165234108548,True,7,61.510242717570776,56.46110962764599
short,65967.132627,2026-02-28 18:55:00+00:00,65880.59650136255,2026-02-28 19:30:00+00:00,breakeven_sl,2.063814872861663,True,7,60.633223500882536,34.4763955097649
short,66269.83235400001,2026-02-28 19:35:00+00:00,66604.98592542858,2026-02-28 19:40:00+00:00,stop_loss,-11.714815732089031,False,1,76.89491661399053,57.78972126357835
short,66582.951039,2026-02-28 19:40:00+00:00,66582.951039,2026-02-28 20:10:00+00:00,breakeven_sl,-0.11784865461188654,True,6,62.98855306351694,54.41221327861277
short,67527.80654399999,2026-02-28 22:40:00+00:00,67338.94,2026-02-28 22:45:00+00:00,adaptive_trail,4.836192214915368,True,1,64.93218671380099,50.5523032867839
short,68011.208199,2026-03-01 02:05:00+00:00,68011.208199,2026-03-01 02:40:00+00:00,breakeven_sl,0.037155551190087066,True,7,63.78155190225326,92.59172277021004
long,66500.909426,2026-03-01 08:55:00+00:00,66560.14,2026-03-01 09:00:00+00:00,adaptive_trail,1.2067453237741015,True,1,31.730333288845415,26.701773406644886
short,67138.27550100001,2026-03-01 13:55:00+00:00,67138.27550100001,2026-03-01 14:05:00+00:00,breakeven_sl,-0.3511915751580985,True,2,66.82132799075573,100.0
long,66100.989438,2026-03-01 16:50:00+00:00,65780.96336657144,2026-03-01 17:15:00+00:00,stop_loss,-11.282943452117003,False,5,27.281377403110625,80.29139181719096
long,66131.972536,2026-03-01 16:55:00+00:00,65771.20967885715,2026-03-01 17:15:00+00:00,stop_loss,-12.510391549154635,False,4,27.281377403110625,80.29139181719096
long,66142.063545,2026-03-01 17:00:00+00:00,65773.618545,2026-03-01 17:15:00+00:00,stop_loss,-12.74101920177678,False,3,27.281377403110625,80.29139181719096
long,65830.23236499999,2026-03-01 19:45:00+00:00,65833.96758205573,2026-03-01 20:00:00+00:00,breakeven_sl,-0.41076111269393933,True,3,38.06703420658548,21.79602869825966
long,65594.14875899999,2026-03-01 20:10:00+00:00,65369.843044714275,2026-03-01 20:25:00+00:00,stop_loss,-8.439198877626652,False,3,23.79179793561204,39.13192741539979
long,65461.215466999995,2026-03-01 20:15:00+00:00,65220.32403842857,2026-03-01 20:30:00+00:00,stop_loss,-8.9598214409222,False,3,21.296311053414428,38.72159555337589
short,66634.025931,2026-03-02 00:45:00+00:00,66501.52,2026-03-02 01:00:00+00:00,adaptive_trail,3.3520457647353945,True,3,65.41107262619238,42.880470465711355
short,66916.357695,2026-03-02 01:15:00+00:00,66490.98881490392,2026-03-02 02:05:00+00:00,adaptive_trail,11.342633675879249,True,10,56.44952485241137,31.881806244198117
long,65672.236567,2026-03-02 07:10:00+00:00,65810.33724966743,2026-03-02 08:00:00+00:00,breakeven_sl,3.4480620453009347,True,10,45.458627391230365,24.630447507052068
long,65594.10875500001,2026-03-02 13:45:00+00:00,65337.15875500001,2026-03-02 14:00:00+00:00,stop_loss,-9.434545049151557,False,3,26.589236893810096,77.63824613695121
long,65434.532799,2026-03-02 13:55:00+00:00,65434.532799,2026-03-02 14:20:00+00:00,breakeven_sl,-0.34333055676297397,True,5,33.3917864164994,92.27155070985974
long,65483.307676000004,2026-03-02 13:50:00+00:00,65486.82,2026-03-02 14:25:00+00:00,adaptive_trail,-0.2540666949386008,True,7,33.61397740505227,94.72664522707642
