side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done,duration_bars
long,90786.127705,2026-01-12 08:40:00+00:00,90525.55627642857,2026-01-12 08:45:00+00:00,stop_loss,-7.340335779451555,False,1
long,95835.092551,2026-01-15 14:45:00+00:00,95835.092551,2026-01-15 15:25:00+00:00,breakeven_sl,0.3873546454201279,True,8
long,94616.630717,2026-01-18 23:30:00+00:00,94400.77107414285,2026-01-18 23:45:00+00:00,stop_loss,-6.162826666334954,False,3
long,94599.619016,2026-01-18 23:35:00+00:00,94353.76473028571,2026-01-18 23:45:00+00:00,stop_loss,-6.797785958793492,False,2
long,94538.182873,2026-01-18 23:40:00+00:00,94276.11358728571,2026-01-18 23:45:00+00:00,stop_loss,-7.144199766698341,False,1
short,93203.61870600001,2026-01-19 08:25:00+00:00,92974.99,2026-01-19 08:30:00+00:00,adaptive_trail,3.5723079392558432,True,1
short,90027.56634300001,2026-01-21 05:50:00+00:00,89922.67020433389,2026-01-21 06:00:00+00:00,adaptive_trail,1.567355656175061,True,2
short,89990.99000100001,2026-01-21 05:55:00+00:00,89922.67020433389,2026-01-21 06:00:00+00:00,adaptive_trail,0.8982840073332519,True,1
short,89919.797121,2026-01-21 05:45:00+00:00,89871.6920601974,2026-01-21 06:30:00+00:00,adaptive_trail,0.4816000385767038,True,9
short,89958.463254,2026-01-21 19:35:00+00:00,90412.83789685715,2026-01-21 19:50:00+00:00,stop_loss,-11.70187649769446,False,3
short,90030.916008,2026-01-21 19:45:00+00:00,89988.23469159233,2026-01-21 20:35:00+00:00,adaptive_trail,1.9777888426070134,True,10
short,89676.951408,2026-01-23 14:30:00+00:00,88899.51,2026-01-23 14:35:00+00:00,adaptive_trail,13.514841762469038,True,1
short,89806.178484,2026-01-24 03:05:00+00:00,89875.24062685715,2026-01-24 03:10:00+00:00,stop_loss,-3.1380265372153855,False,1
short,83642.494914,2026-01-30 14:45:00+00:00,83594.38892857142,2026-01-30 15:10:00+00:00,breakeven_sl,1.615285340219721,True,5
short,66819.80735100001,2026-02-06 05:55:00+00:00,65838.7952012601,2026-02-06 06:30:00+00:00,adaptive_trail,25.427629157094866,True,7
long,68776.536966,2026-02-07 07:00:00+00:00,68302.66339457143,2026-02-07 07:05:00+00:00,stop_loss,-15.380093977771338,False,1
short,69857.763525,2026-02-07 12:20:00+00:00,69794.31932657334,2026-02-07 12:30:00+00:00,breakeven_sl,3.1940449374302555,True,2
long,69616.34093800001,2026-02-09 08:35:00+00:00,69676.52809840738,2026-02-09 09:35:00+00:00,breakeven_sl,2.2447693226701095,True,12
short,68451.68414699999,2026-02-11 14:15:00+00:00,66428.97,2026-02-11 15:05:00+00:00,adaptive_trail,49.43255633328163,True,10
long,69615.150819,2026-02-15 12:55:00+00:00,69381.22689042857,2026-02-15 13:00:00+00:00,stop_loss,-8.320489026293505,False,1
short,68856.003711,2026-02-16 22:00:00+00:00,68600.99,2026-02-16 22:30:00+00:00,adaptive_trail,6.167639832290168,True,6
short,67382.251101,2026-02-20 00:30:00+00:00,67342.17557320252,2026-02-20 01:05:00+00:00,breakeven_sl,0.9071892649587617,True,7
long,67450.304356,2026-02-20 11:45:00+00:00,67263.1225702857,2026-02-20 13:00:00+00:00,stop_loss,-7.1502132273963,False,15
long,67325.141841,2026-02-20 12:00:00+00:00,67370.42760046075,2026-02-20 13:00:00+00:00,breakeven_sl,1.3529875538170417,True,12
long,67947.82410299999,2026-02-21 23:05:00+00:00,68014.61992892738,2026-02-21 23:50:00+00:00,adaptive_trail,1.459806805717065,True,9
short,66449.85435,2026-02-23 09:55:00+00:00,66389.66698088792,2026-02-23 10:55:00+00:00,breakeven_sl,1.658693333212896,True,12
short,65599.779366,2026-02-25 01:15:00+00:00,65934.09615171429,2026-02-25 01:20:00+00:00,stop_loss,-11.792619211385885,False,1
long,64912.480598999995,2026-02-25 05:40:00+00:00,65016.728531119814,2026-02-25 06:50:00+00:00,breakeven_sl,2.6127354404433594,True,14
long,64845.933945,2026-02-25 05:45:00+00:00,65016.728531119814,2026-02-25 06:50:00+00:00,breakeven_sl,4.327760473215835,True,13
long,66880.997431,2026-02-27 10:15:00+00:00,66595.41135957143,2026-02-27 10:50:00+00:00,stop_loss,-10.140125966966947,False,7
