side,entry_price,entry_time,exit_price,exit_time,exit_reason,pnl,tp1_done
long,90072.0,2026-01-22 03:00:00+00:00,88583.66142857143,2026-01-22 15:30:00+00:00,stop_loss,-34.64775227437092,False
long,89622.5,2026-01-23 22:10:00+00:00,88603.83071428571,2026-01-25 08:35:00+00:00,stop_loss,-24.332445216642956,False
long,87908.06,2026-01-26 14:30:00+00:00,87908.06,2026-01-26 14:50:00+00:00,stop_loss,-0.47284998180403826,True
long,89233.9,2026-01-28 08:00:00+00:00,90081.35,2026-01-28 14:35:00+00:00,atr_trail_1.5,16.419894104947232,True
long,89051.72,2026-01-28 05:00:00+00:00,89710.71,2026-01-28 14:45:00+00:00,atr_trail_1.5,13.012157005903127,True
long,78222.2,2026-02-03 12:10:00+00:00,77251.14392857143,2026-02-03 14:55:00+00:00,stop_loss,-26.42814524338532,False
long,78318.65,2026-02-03 12:25:00+00:00,77347.59392857143,2026-02-03 14:55:00+00:00,stop_loss,-26.39756919784924,False
long,70361.37,2026-02-07 02:55:00+00:00,70361.37,2026-02-07 05:25:00+00:00,stop_loss,1.977829709683031,True
long,69292.11,2026-02-08 04:20:00+00:00,70275.01,2026-02-08 10:20:00+00:00,atr_trail_1.5,25.648016714003404,True
long,69344.71,2026-02-08 06:10:00+00:00,70275.01,2026-02-08 10:20:00+00:00,atr_trail_1.5,23.937028810746153,True
long,71061.63,2026-02-08 12:45:00+00:00,71916.69,2026-02-08 23:10:00+00:00,atr_trail_1.5,21.707177164385282,True
long,69420.51,2026-02-07 20:20:00+00:00,71233.99,2026-02-08 23:20:00+00:00,atr_trail_1.5,48.09166275829132,True
long,70489.43,2026-02-09 21:50:00+00:00,69087.04142857142,2026-02-10 06:25:00+00:00,stop_loss,-41.39003863213454,False
long,67999.12,2026-02-12 13:15:00+00:00,67216.6675,2026-02-12 15:05:00+00:00,stop_loss,-24.613606646674235,False
long,67984.06,2026-02-12 14:50:00+00:00,67172.4357142857,2026-02-12 15:05:00+00:00,stop_loss,-25.47689954716719,False
long,68848.74,2026-02-14 06:15:00+00:00,70061.98607142858,2026-02-14 11:20:00+00:00,atr_trail_1.5,30.944455943773015,True
long,68937.99,2026-02-14 03:25:00+00:00,70087.52,2026-02-14 12:45:00+00:00,atr_trail_1.5,29.893201353854337,True
long,69807.74,2026-02-14 19:15:00+00:00,70568.01,2026-02-15 08:30:00+00:00,atr_trail_1.5,19.39231812567297,True
long,69898.65,2026-02-14 20:20:00+00:00,70568.01,2026-02-15 08:30:00+00:00,atr_trail_1.5,17.042127872692404,True
long,69902.29,2026-02-15 03:45:00+00:00,70568.01,2026-02-15 08:30:00+00:00,atr_trail_1.5,16.75613069941736,True
long,69124.74,2026-02-17 02:10:00+00:00,68160.18214285714,2026-02-17 05:20:00+00:00,stop_loss,-29.507746405783607,False
long,67327.12,2026-02-20 04:05:00+00:00,67821.21,2026-02-20 11:35:00+00:00,atr_trail_1.5,12.932918850956215,True
long,67384.14,2026-02-20 03:20:00+00:00,67708.73,2026-02-20 11:40:00+00:00,atr_trail_1.5,8.550500018041445,True
long,67051.1,2026-02-20 14:30:00+00:00,67436.76,2026-02-20 15:05:00+00:00,atr_trail_1.5,10.08720998931061,True
long,68126.0,2026-02-21 12:45:00+00:00,68402.41,2026-02-21 16:05:00+00:00,atr_trail_1.5,6.389401990429606,True
long,68564.38,2026-02-21 20:15:00+00:00,68150.24071428571,2026-02-21 22:35:00+00:00,stop_loss,-13.680304254608375,False
long,67520.43,2026-02-20 17:45:00+00:00,67840.39,2026-02-22 13:35:00+00:00,atr_trail_1.5,8.764289530062209,True
long,64107.15,2026-02-24 23:15:00+00:00,65574.08,2026-02-25 03:20:00+00:00,atr_trail_1.5,41.191754563592816,True
long,65117.9,2026-02-25 07:15:00+00:00,68910.2,2026-02-25 20:10:00+00:00,atr_trail_1.5,105.04043658831561,True
