side,signal,sl,exit,total_pnl,trades,win_rate,profit_factor,max_drawdown,avg_pnl,long_trades,short_trades,long_pnl,short_pnl
short,bb_upper,atr_2.5,atr_trail_2.5,-158.67,262,35.9,0.93,-474.84,-0.61,0,262,0.0,-158.67
short,stoch_cross_dn,atr_2.0,fixed_2atr,-141.66,220,42.7,0.93,-427.37,-0.64,0,220,0.0,-141.66
long,rsi30_vol,atr_2.0,atr_trail_1.5,-37.02,39,51.3,0.93,-348.48,-0.95,39,0,-37.02,0.0
long,momentum_up,pct_1.5,atr_trail_1.5,-40.19,54,51.9,0.92,-188.17,-0.74,54,0,-40.19,0.0
long,ema_macd_up,pct_1.5,fixed_3atr,-50.47,68,38.2,0.92,-189.74,-0.74,68,0,-50.47,0.0
long,stoch_cross_up,atr_1.5,fixed_3atr,-183.1,223,35.4,0.92,-514.0,-0.82,223,0,-183.1,0.0
short,vol_spike_dn,atr_2.5,ema9_trail,-209.84,261,44.8,0.92,-570.72,-0.8,0,261,0.0,-209.84
long,vol_spike_up,atr_1.5,atr_trail_1.5,-147.96,221,42.1,0.92,-708.92,-0.67,221,0,-147.96,0.0
long,vol_spike_up,atr_2.5,fixed_2atr,-194.26,221,46.2,0.91,-696.06,-0.88,221,0,-194.26,0.0
long,stoch_cross_up,atr_2.0,atr_trail_1.5,-206.92,220,48.6,0.91,-728.38,-0.94,220,0,-206.92,0.0
long,rsi30_vol,atr_2.5,fixed_2atr,-51.67,39,51.3,0.91,-330.06,-1.32,39,0,-51.67,0.0
long,momentum_up,atr_2.0,fixed_2atr,-43.15,54,44.4,0.91,-215.56,-0.8,54,0,-43.15,0.0
long,momentum_up,atr_2.5,atr_trail_2.5,-49.48,54,44.4,0.91,-270.52,-0.92,54,0,-49.48,0.0
long,rsi30_vol,atr_1.5,atr_trail_2.5,-52.07,39,33.3,0.91,-338.73,-1.34,39,0,-52.07,0.0
long,ema_macd_up,pct_1.5,atr_trail_1.5,-51.28,68,50.0,0.91,-143.99,-0.75,68,0,-51.28,0.0
long,stoch_cross_up,atr_2.5,fixed_3atr,-267.03,220,42.7,0.9,-742.74,-1.21,220,0,-267.03,0.0
long,rsi30_vol,atr_2.0,fixed_2atr,-56.05,39,48.7,0.9,-318.74,-1.44,39,0,-56.05,0.0
long,momentum_up,atr_2.5,ema9_trail,-56.29,54,40.7,0.9,-351.41,-1.04,54,0,-56.29,0.0
short,stoch_cross_dn,pct_1.5,fixed_2atr,-220.56,220,44.1,0.89,-577.12,-1.0,0,220,0.0,-220.56
long,stoch_cross_up,atr_2.5,fixed_2atr,-277.57,220,49.5,0.89,-702.63,-1.26,220,0,-277.57,0.0
long,stoch_cross_up,atr_1.5,fixed_2atr,-239.22,223,41.7,0.89,-503.41,-1.07,223,0,-239.22,0.0
long,momentum_up,pct_1.5,fixed_2atr,-58.08,54,44.4,0.88,-220.29,-1.08,54,0,-58.08,0.0
long,vol_spike_up,atr_1.5,ema9_trail,-223.52,214,35.0,0.88,-818.92,-1.04,214,0,-223.52,0.0
long,rsi30_vol,atr_1.5,fixed_3atr,-72.07,39,35.9,0.88,-351.98,-1.85,39,0,-72.07,0.0
long,vol_spike_up,pct_1.5,ema9_trail,-242.61,210,40.0,0.88,-743.45,-1.16,210,0,-242.61,0.0
short,vol_spike_dn,pct_1.5,fixed_3atr,-341.2,278,39.6,0.88,-771.91,-1.23,0,278,0.0,-341.2
long,vol_spike_up,atr_1.5,fixed_2atr,-245.59,221,38.5,0.87,-750.31,-1.11,221,0,-245.59,0.0
long,stoch_cross_up,atr_1.5,atr_trail_2.5,-281.06,223,35.9,0.87,-482.08,-1.26,223,0,-281.06,0.0
long,vol_spike_up,pct_1.5,fixed_2atr,-269.42,221,44.3,0.87,-705.03,-1.22,221,0,-269.42,0.0
short,bb_upper,atr_2.0,atr_trail_2.5,-283.65,264,34.1,0.87,-479.78,-1.07,0,264,0.0,-283.65
short,bb_squeeze_dn,atr_2.0,fixed_2atr,-18.83,17,35.3,0.86,-99.1,-1.11,0,17,0.0,-18.83
long,stoch_cross_up,atr_2.5,atr_trail_2.5,-391.34,220,42.7,0.85,-693.78,-1.78,220,0,-391.34,0.0
long,ema_macd_up,atr_1.5,ema9_trail,-84.85,68,33.8,0.84,-227.57,-1.25,68,0,-84.85,0.0
long,stoch_cross_up,atr_1.5,atr_trail_1.5,-354.14,223,42.6,0.84,-510.54,-1.59,223,0,-354.14,0.0
long,stoch_cross_up,pct_1.5,fixed_3atr,-392.3,220,37.3,0.84,-619.57,-1.78,220,0,-392.3,0.0
long,ema_macd_up,atr_2.0,atr_trail_2.5,-93.17,68,38.2,0.83,-167.45,-1.37,68,0,-93.17,0.0
long,ema_macd_up,pct_1.5,fixed_2atr,-103.84,68,45.6,0.83,-127.77,-1.53,68,0,-103.84,0.0
long,stoch_cross_up,atr_2.5,atr_trail_1.5,-459.2,220,50.5,0.82,-788.83,-2.09,220,0,-459.2,0.0
short,vol_spike_dn,pct_1.5,ema9_trail,-478.87,260,41.2,0.82,-754.4,-1.84,0,260,0.0,-478.87
long,rsi30_vol,pct_1.5,atr_trail_1.5,-107.95,39,43.6,0.81,-387.25,-2.77,39,0,-107.95,0.0
long,ema_macd_up,atr_1.5,fixed_3atr,-104.64,68,30.9,0.8,-211.43,-1.54,68,0,-104.64,0.0
