open,high,low,close,volume,taker_buy_volume,datetime
63245.5,63324.8,63070.0,63137.5,3957.615,1761.413,2026-07-05 02:00:00
63137.5,63450.0,63090.0,63268.1,4202.383,2196.874,2026-07-05 03:00:00
63268.0,63367.0,63128.4,63208.9,2485.99,1173.956,2026-07-05 04:00:00
63208.8,63430.0,63172.8,63274.7,2460.986,1268.731,2026-07-05 05:00:00
63274.6,63286.4,63129.4,63167.7,1955.701,1007.683,2026-07-05 06:00:00
63167.7,63215.8,62902.7,63114.8,3811.613,1690.687,2026-07-05 07:00:00
63114.9,63114.9,62824.4,62962.5,3551.601,1358.617,2026-07-05 08:00:00
62962.6,63022.6,62762.3,62859.8,4010.604,1789.251,2026-07-05 09:00:00
62859.8,62902.6,62549.6,62673.8,4562.372,1974.856,2026-07-05 10:00:00
62673.7,62766.0,62626.5,62739.1,2361.782,1200.339,2026-07-05 11:00:00
62739.1,62928.0,62680.0,62787.3,2921.002,1708.176,2026-07-05 12:00:00
62787.0,62788.4,62628.0,62716.4,2140.339,963.955,2026-07-05 13:00:00
62716.4,62800.0,62644.3,62749.9,1389.733,778.868,2026-07-05 14:00:00
62749.8,63039.3,62690.5,62995.1,3714.195,2262.315,2026-07-05 15:00:00
62995.1,63084.0,62868.0,62893.3,2742.219,1245.456,2026-07-05 16:00:00
62893.4,62908.7,62410.1,62600.3,6542.351,2700.665,2026-07-05 17:00:00
62600.2,62737.9,62507.2,62737.6,2252.572,1252.596,2026-07-05 18:00:00
62737.6,62799.9,62582.3,62630.0,1774.562,819.558,2026-07-05 19:00:00
62630.0,62752.0,62534.3,62718.2,2260.963,1191.57,2026-07-05 20:00:00
62718.3,62797.9,62617.5,62769.9,2043.696,964.358,2026-07-05 21:00:00
62769.9,62793.6,62621.5,62785.3,1709.374,832.268,2026-07-05 22:00:00
62785.2,62923.7,62646.9,62711.9,4065.907,2110.198,2026-07-05 23:00:00
62711.9,62745.6,62570.0,62612.0,3034.915,1420.886,2026-07-06 00:00:00
62612.0,62800.0,62564.4,62601.3,2087.571,1100.824,2026-07-06 01:00:00
62601.4,62865.0,62587.8,62787.6,1904.702,1109.12,2026-07-06 02:00:00
62787.6,62848.5,62691.2,62744.0,1276.56,605.902,2026-07-06 03:00:00
62744.1,62815.1,62667.5,62704.7,862.24,355.919,2026-07-06 04:00:00
62704.8,63224.7,62580.0,63070.4,6287.574,3637.224,2026-07-06 05:00:00
63070.4,63979.3,62976.3,63717.1,20592.411,12339.736,2026-07-06 06:00:00
63717.1,63990.7,63542.8,63617.1,8537.899,4448.626,2026-07-06 07:00:00
63617.2,63760.0,63308.3,63728.4,7726.289,4316.451,2026-07-06 08:00:00
63728.3,63900.0,63520.0,63544.2,4911.735,2450.331,2026-07-06 09:00:00
63544.1,63644.1,63340.4,63425.1,5031.491,2456.862,2026-07-06 10:00:00
63425.1,63478.4,63101.2,63273.0,6110.788,2744.517,2026-07-06 11:00:00
63272.9,63368.3,63154.6,63242.9,2765.979,1421.713,2026-07-06 12:00:00
63242.8,63242.8,62912.6,63086.0,6116.52,2761.459,2026-07-06 13:00:00
63086.0,63125.6,62940.0,62962.6,3366.096,1668.312,2026-07-06 14:00:00
62962.6,63102.7,62858.4,63064.5,4208.151,2247.983,2026-07-06 15:00:00
63064.5,63226.4,62807.1,62876.1,5227.929,2718.157,2026-07-06 16:00:00
62876.0,62893.9,62610.0,62646.6,5981.406,2540.908,2026-07-06 17:00:00
62646.5,63019.3,62641.5,62797.6,5488.25,3004.691,2026-07-06 18:00:00
62797.7,62979.4,62461.4,62461.4,10912.522,2827.563,2026-07-06 19:00:00
62461.2,62467.2,61652.0,61733.6,34860.28,16735.405,2026-07-06 20:00:00
61733.6,62023.8,61297.0,61751.7,25787.251,13398.545,2026-07-06 21:00:00
61751.7,62397.3,61679.4,62019.7,16281.511,8339.674,2026-07-06 22:00:00
62019.7,63531.1,62019.7,63523.1,28807.014,15436.88,2026-07-06 23:00:00
63523.0,63850.0,63356.8,63710.4,21207.184,10546.166,2026-07-07 00:00:00
63710.4,63977.9,63539.9,63565.2,11369.867,5892.247,2026-07-07 01:00:00
63565.2,63867.5,63532.8,63675.7,4653.007,2478.126,2026-07-07 02:00:00
63675.8,63874.4,63628.0,63709.8,3459.098,1754.495,2026-07-07 03:00:00
63709.9,63868.0,63560.0,63798.0,3993.392,1844.794,2026-07-07 04:00:00
63798.1,64691.9,63781.7,64475.9,17905.498,10849.251,2026-07-07 05:00:00
64475.9,64488.8,64129.4,64227.2,3777.611,1788.639,2026-07-07 06:00:00
64227.2,64330.5,64002.0,64023.6,2844.93,1164.086,2026-07-07 07:00:00
64023.5,64298.1,63981.6,64175.2,4516.091,2450.576,2026-07-07 08:00:00
64175.1,64175.2,63738.9,63815.0,6656.918,2753.475,2026-07-07 09:00:00
63815.0,63884.1,63257.0,63298.2,12011.75,4765.581,2026-07-07 10:00:00
63298.2,63412.8,63122.0,63165.0,6438.175,2897.478,2026-07-07 11:00:00
63164.9,63266.7,63030.7,63069.0,5517.363,2509.763,2026-07-07 12:00:00
63069.0,63232.7,62745.6,63092.5,10146.888,5178.295,2026-07-07 13:00:00
63092.4,63373.3,62954.4,63310.0,6420.153,3584.363,2026-07-07 14:00:00
63309.9,63424.2,63050.0,63062.6,5308.971,2290.709,2026-07-07 15:00:00
63062.7,63165.7,62958.4,63074.0,3246.141,1528.325,2026-07-07 16:00:00
63074.0,63317.4,63030.0,63226.9,3984.997,2134.973,2026-07-07 17:00:00
63227.0,63432.8,63185.4,63258.6,4429.345,2211.897,2026-07-07 18:00:00
63258.6,63427.8,63080.0,63377.7,4669.388,2259.954,2026-07-07 19:00:00
63377.8,63868.0,63365.7,63451.9,11307.971,5789.854,2026-07-07 20:00:00
63451.8,63455.4,62960.3,63033.2,13510.125,6379.695,2026-07-07 21:00:00
63033.3,63617.8,62638.0,63536.5,19586.851,9872.115,2026-07-07 22:00:00
