case,family,n,pnl,delta,wr,mdd,mh_n,mh_pnl,d_discover,d_validate,d_holdout,folds_better,worst_fold_delta
STALL_S_N5_P-0.005_M0.005_G2,stalled_underwater,278,7620.73,-431.24,62.59,334.33,80,-3816.98,-11.31,-417.18,-2.75,1,-308.93
STALL_S_N5_P-0.005_M0.010_G0,stalled_underwater,278,6920.22,-1131.75,58.99,335.41,91,-3969.54,-393.07,-415.63,-323.05,0,-538.99
STALL_S_N5_P-0.005_M0.010_G1,stalled_underwater,277,7093.01,-958.96,59.93,336.98,89,-4099.42,-297.71,-504.29,-156.96,0,-584.89
STALL_S_N5_P-0.005_M0.010_G2,stalled_underwater,278,7204.06,-847.91,60.79,336.78,86,-4130.64,-225.29,-457.52,-165.1,1,-485.22
STALL_S_N5_P-0.005_M0.990_G0,stalled_underwater,278,6978.68,-1073.29,58.99,327.69,91,-3911.08,-414.76,-345.16,-313.37,1,-476.24
STALL_S_N5_P-0.005_M0.990_G1,stalled_underwater,277,7175.77,-876.2,59.93,329.26,89,-4016.66,-295.1,-433.82,-147.28,1,-522.14
STALL_S_N5_P-0.005_M0.990_G2,stalled_underwater,278,7218.38,-833.59,60.79,329.06,86,-4116.32,-222.68,-455.49,-155.42,1,-490.91
STALL_S_N5_P-0.010_M0.005_G0,stalled_underwater,279,7628.44,-423.53,62.72,330.1,80,-3718.4,-2.66,-245.54,-175.33,2,-226.97
STALL_S_N5_P-0.010_M0.005_G1,stalled_underwater,278,7727.13,-324.84,62.95,330.1,80,-3784.32,-16.48,-301.46,-6.9,1,-225.05
STALL_S_N5_P-0.010_M0.005_G2,stalled_underwater,278,7707.45,-344.52,62.95,330.1,79,-3797.77,-38.35,-303.42,-2.75,1,-199.4
STALL_S_N5_P-0.010_M0.010_G0,stalled_underwater,279,7139.94,-912.03,61.29,332.55,85,-4140.41,-262.37,-351.46,-298.2,1,-440.19
STALL_S_N5_P-0.010_M0.010_G1,stalled_underwater,278,7378.06,-673.91,61.87,332.55,84,-4110.67,-256.0,-414.03,-3.88,2,-438.27
STALL_S_N5_P-0.010_M0.010_G2,stalled_underwater,278,7517.17,-534.8,62.23,332.55,82,-4096.03,-294.24,-214.0,-26.56,1,-258.21
STALL_S_N5_P-0.010_M0.990_G0,stalled_underwater,279,7176.52,-875.45,61.29,332.55,85,-4103.83,-257.93,-308.13,-309.39,2,-396.86
STALL_S_N5_P-0.010_M0.990_G1,stalled_underwater,278,7414.64,-637.33,61.87,332.55,84,-4074.09,-251.56,-370.7,-15.07,2,-394.94
STALL_S_N5_P-0.010_M0.990_G2,stalled_underwater,278,7485.31,-566.66,62.23,332.55,82,-4127.89,-289.8,-239.11,-37.75,2,-258.21
STALL_S_N6_P+0.000_M0.005_G0,stalled_underwater,277,7543.51,-508.46,61.73,346.47,83,-3846.6,10.82,-464.55,-54.73,1,-383.71
STALL_S_N6_P+0.000_M0.005_G1,stalled_underwater,278,7584.16,-467.81,61.87,334.33,82,-3841.77,-32.83,-417.18,-17.8,1,-308.93
STALL_S_N6_P+0.000_M0.005_G2,stalled_underwater,278,7707.69,-344.28,62.59,336.86,80,-3730.02,29.67,-335.55,-38.4,2,-229.49
STALL_S_N6_P+0.000_M0.010_G0,stalled_underwater,277,7158.71,-893.26,58.48,341.01,93,-3912.07,-306.36,-430.01,-156.89,2,-584.89
STALL_S_N6_P+0.000_M0.010_G1,stalled_underwater,278,7162.27,-889.7,58.99,338.26,91,-4004.49,-262.58,-457.52,-169.6,0,-485.22
STALL_S_N6_P+0.000_M0.010_G2,stalled_underwater,278,7458.32,-593.65,61.87,323.81,82,-3919.51,-224.17,-323.89,-45.59,1,-228.75
STALL_S_N6_P+0.000_M0.990_G0,stalled_underwater,276,7037.47,-1014.5,57.25,317.3,97,-3729.65,-250.64,-571.29,-192.57,2,-754.38
STALL_S_N6_P+0.000_M0.990_G1,stalled_underwater,278,7163.66,-888.31,58.63,329.06,92,-3908.35,-230.32,-561.46,-96.53,1,-596.88
STALL_S_N6_P+0.000_M0.990_G2,stalled_underwater,278,7558.18,-493.79,61.87,320.37,82,-3819.65,-171.3,-317.39,-5.1,1,-231.59
STALL_S_N6_P-0.005_M0.005_G0,stalled_underwater,277,7573.53,-478.44,62.09,334.53,82,-3824.2,10.82,-464.55,-24.71,1,-383.71
STALL_S_N6_P-0.005_M0.005_G1,stalled_underwater,278,7620.73,-431.24,62.59,334.33,80,-3816.98,-11.31,-417.18,-2.75,1,-308.93
STALL_S_N6_P-0.005_M0.005_G2,stalled_underwater,278,7783.3,-268.67,62.95,336.86,79,-3721.92,29.67,-261.13,-37.21,2,-155.07
STALL_S_N6_P-0.005_M0.010_G0,stalled_underwater,277,7093.01,-958.96,59.93,336.98,89,-4099.42,-297.71,-504.29,-156.96,0,-584.89
STALL_S_N6_P-0.005_M0.010_G1,stalled_underwater,278,7204.06,-847.91,60.79,336.78,86,-4130.64,-225.29,-457.52,-165.1,1,-485.22
STALL_S_N6_P-0.005_M0.010_G2,stalled_underwater,278,7527.05,-524.92,62.23,329.69,81,-3918.29,-224.17,-249.28,-51.47,1,-228.75
STALL_S_N6_P-0.005_M0.990_G0,stalled_underwater,277,7175.77,-876.2,59.93,329.26,89,-4016.66,-295.1,-433.82,-147.28,1,-522.14
STALL_S_N6_P-0.005_M0.990_G1,stalled_underwater,278,7218.38,-833.59,60.79,329.06,86,-4116.32,-222.68,-455.49,-155.42,1,-490.91
STALL_S_N6_P-0.005_M0.990_G2,stalled_underwater,278,7505.11,-546.86,62.23,325.76,81,-3940.23,-241.42,-242.78,-62.66,1,-233.42
STALL_S_N6_P-0.010_M0.005_G0,stalled_underwater,278,7727.13,-324.84,62.95,330.1,80,-3784.32,-16.48,-301.46,-6.9,1,-225.05
STALL_S_N6_P-0.010_M0.005_G1,stalled_underwater,278,7707.45,-344.52,62.95,330.1,79,-3797.77,-38.35,-303.42,-2.75,1,-199.4
STALL_S_N6_P-0.010_M0.005_G2,stalled_underwater,278,7755.61,-296.36,62.95,330.1,79,-3749.61,15.38,-254.37,-57.37,2,-155.07
STALL_S_N6_P-0.010_M0.010_G0,stalled_underwater,278,7378.06,-673.91,61.87,332.55,84,-4110.67,-256.0,-414.03,-3.88,2,-438.27
STALL_S_N6_P-0.010_M0.010_G1,stalled_underwater,278,7517.17,-534.8,62.23,332.55,82,-4096.03,-294.24,-214.0,-26.56,1,-258.21
STALL_S_N6_P-0.010_M0.010_G2,stalled_underwater,278,7481.85,-570.12,62.23,330.1,81,-3963.49,-238.46,-261.02,-70.64,1,-228.75
STALL_S_N6_P-0.010_M0.990_G0,stalled_underwater,278,7414.64,-637.33,61.87,332.55,84,-4074.09,-251.56,-370.7,-15.07,2,-394.94
STALL_S_N6_P-0.010_M0.990_G1,stalled_underwater,278,7485.31,-566.66,62.23,332.55,82,-4127.89,-289.8,-239.11,-37.75,2,-258.21
