side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
L,2025-12-05 10:00:00,2025-12-05 22:00:00,3162.08,3102.43,-79.4566614380409,MH,2025-12
S,2025-12-05 22:00:00,2025-12-06 10:00:00,3097.95,3027.91,86.43399667522068,MH,2025-12
L,2025-12-06 23:00:00,2025-12-07 11:00:00,3053.49,3052.58,-5.192078572387471,MH,2025-12
L,2025-12-08 17:00:00,2025-12-09 05:00:00,3142.26,3144.89,-0.6520911700500225,MH,2025-12
S,2025-12-11 11:00:00,2025-12-11 23:00:00,3209.79,3177.71,35.977693244729316,MH,2025-12
L,2025-12-12 06:00:00,2025-12-12 18:00:00,3247.48,3242.53,-10.097035239631737,MH,2025-12
S,2025-12-16 02:00:00,2025-12-16 14:00:00,2935.41,2944.47,-16.345805185646906,MH,2025-12
L,2025-12-18 21:00:00,2025-12-19 09:00:00,2870.01,2819.82,-73.95097578057226,MH,2025-12
L,2025-12-19 16:00:00,2025-12-20 04:00:00,2950.39,2994.39,55.65313060307282,MH,2025-12
L,2025-12-21 17:00:00,2025-12-22 05:00:00,2990.79,2972.52,-28.435015497577538,MH,2025-12
S,2025-12-25 17:00:00,2025-12-26 05:00:00,2929.35,2945.76,-26.407701367197923,MH,2025-12
L,2025-12-29 12:00:00,2025-12-29 20:00:00,3042.3,2935.8195,-144.00000000000014,SL,2025-12
S,2025-12-29 21:00:00,2025-12-30 09:00:00,2929.56,2935.32,-11.864662270102293,MH,2025-12
L,2026-01-11 21:00:00,2026-01-12 09:00:00,3112.53,3123.48,10.072153521411607,MH,2026-01
S,2026-01-15 10:00:00,2026-01-15 22:00:00,3323.51,3340.38,-24.30383540293231,MH,2026-01
S,2026-01-20 17:00:00,2026-01-21 05:00:00,3105.46,2992.0,142.14260045210696,MH,2026-01
S,2026-01-25 17:00:00,2026-01-26 05:00:00,2927.89,2817.19,147.23518984661285,MH,2026-01
S,2026-01-31 16:00:00,2026-02-01 04:00:00,2678.86,2380.84,440.99525917741124,MH,2026-02
L,2026-02-02 22:00:00,2026-02-03 10:00:00,2326.29,2297.3,-53.84761143279605,MH,2026-02
S,2026-02-06 05:00:00,2026-02-06 09:00:00,1868.37,1933.7629499999998,-143.99999999999986,SL,2026-02
S,2026-02-09 19:00:00,2026-02-10 00:00:00,2021.74,2092.5009,-144.0,SL,2026-02
L,2026-02-19 10:00:00,2026-02-19 22:00:00,1966.0,1935.82,-65.4038657171924,MH,2026-02
S,2026-02-19 22:00:00,2026-02-20 10:00:00,1920.21,1948.62,-63.18102707516335,MH,2026-02
L,2026-02-26 02:00:00,2026-02-26 14:00:00,2073.1,2061.54,-26.304760985962947,MH,2026-02
S,2026-02-28 01:00:00,2026-02-28 13:00:00,1926.0,1919.15,10.22637590861871,MH,2026-02
S,2026-03-01 17:00:00,2026-03-02 05:00:00,1985.24,1927.63,112.07664564485886,MH,2026-03
L,2026-03-04 18:00:00,2026-03-05 06:00:00,2074.45,2130.97,104.98310395526524,MH,2026-03
S,2026-03-06 22:00:00,2026-03-07 10:00:00,2018.54,1982.45,67.51703706639437,MH,2026-03
L,2026-03-08 19:00:00,2026-03-09 07:00:00,1973.11,1935.97,-79.29230504127975,MH,2026-03
L,2026-03-16 07:00:00,2026-03-16 19:00:00,2183.74,2268.81,151.82441133101958,MH,2026-03
S,2026-03-25 02:00:00,2026-03-25 14:00:00,2108.38,2162.46,-106.6001005511339,MH,2026-03
S,2026-03-26 14:00:00,2026-03-27 02:00:00,2118.63,2045.82,133.46619277552034,MH,2026-03
S,2026-03-27 22:00:00,2026-03-28 10:00:00,1977.94,1986.22,-20.74469397453911,MH,2026-03
L,2026-03-30 13:00:00,2026-03-31 01:00:00,2047.25,2040.67,-16.85627060691157,MH,2026-03
S,2026-03-31 17:00:00,2026-04-01 01:00:00,2038.88,2110.2408,-143.99999999999986,SL,2026-04
L,2026-04-08 06:00:00,2026-04-08 18:00:00,2144.26,2241.69,177.7503474392095,MH,2026-04
L,2026-04-10 23:00:00,2026-04-11 11:00:00,2241.17,2235.94,-13.334410151840366,MH,2026-04
L,2026-04-12 04:00:00,2026-04-12 09:00:00,2315.25,2234.21625,-144.0000000000001,SL,2026-04
S,2026-04-18 20:00:00,2026-04-19 08:00:00,2351.46,2347.58,2.6001547974451773,MH,2026-04
