side,entry_dt,exit_dt,entry_price,exit_price,pnl,reason,month
S,2024-07-29 23:00:00,2024-07-30 11:00:00,3325.0,3319.43,2.700751879699445,MH,2024-07
S,2024-08-01 13:00:00,2024-08-02 01:00:00,3146.0,3118.86,30.507310870947073,MH,2024-08
L,2024-08-02 07:00:00,2024-08-02 19:00:00,3207.74,3152.1,-73.38218184765583,MH,2024-08
S,2024-08-03 09:00:00,2024-08-03 21:00:00,2961.11,3006.39,-65.16625184474705,MH,2024-08
L,2024-08-03 21:00:00,2024-08-04 01:00:00,3008.66,2903.3568999999998,-144.00000000000014,SL,2024-08
S,2024-08-05 02:00:00,2024-08-05 14:00:00,2698.99,2267.39,635.6466826479534,MH,2024-08
S,2024-08-08 03:00:00,2024-08-08 09:00:00,2343.07,2425.0774499999998,-143.99999999999932,SL,2024-08
L,2024-08-08 21:00:00,2024-08-09 09:00:00,2481.14,2669.37,299.4572817333968,MH,2024-08
S,2024-08-11 00:00:00,2024-08-11 12:00:00,2598.48,2643.25,-72.91721313998951,MH,2024-08
L,2024-08-11 12:00:00,2024-08-12 00:00:00,2645.46,2624.51,-35.67691063179911,MH,2024-08
L,2024-08-12 20:00:00,2024-08-13 08:00:00,2672.31,2716.87,62.698848561731154,MH,2024-08
L,2024-08-16 15:00:00,2024-08-17 03:00:00,2625.1,2619.1,-13.142508856805456,MH,2024-08
L,2024-08-18 17:00:00,2024-08-19 05:00:00,2615.83,2642.35,36.55309404663144,MH,2024-08
S,2024-08-19 18:00:00,2024-08-20 06:00:00,2578.54,2621.61,-70.81300270695846,MH,2024-08
L,2024-08-20 08:00:00,2024-08-20 20:00:00,2635.16,2645.28,11.361496076140115,MH,2024-08
S,2024-08-20 20:00:00,2024-08-21 08:00:00,2641.03,2575.47,95.29459339727364,MH,2024-08
L,2024-08-21 15:00:00,2024-08-22 03:00:00,2599.06,2645.01,66.71787492401141,MH,2024-08
L,2024-08-22 03:00:00,2024-08-22 15:00:00,2637.57,2635.0,-7.897526890281833,MH,2024-08
L,2024-08-22 16:00:00,2024-08-23 04:00:00,2634.99,2623.68,-21.168945612696742,MH,2024-08
L,2024-08-23 15:00:00,2024-08-24 03:00:00,2680.84,2744.58,91.10451947896895,MH,2024-08
L,2024-08-24 04:00:00,2024-08-24 16:00:00,2744.58,2774.98,40.30550393867199,MH,2024-08
S,2024-08-27 19:00:00,2024-08-28 07:00:00,2636.66,2455.98,270.1043593030574,MH,2024-08
S,2024-08-31 17:00:00,2024-09-01 05:00:00,2512.48,2516.46,-10.336368846717217,MH,2024-09
S,2024-09-01 10:00:00,2024-09-01 22:00:00,2492.75,2454.45,57.45822886370504,MH,2024-09
L,2024-09-03 05:00:00,2024-09-03 17:00:00,2553.25,2503.01,-82.70752961911255,MH,2024-09
S,2024-09-04 10:00:00,2024-09-04 22:00:00,2364.97,2447.7439499999996,-143.99999999999963,SL,2024-09
S,2024-09-05 15:00:00,2024-09-06 03:00:00,2397.83,2362.71,54.586305117543596,MH,2024-09
S,2024-09-06 16:00:00,2024-09-07 04:00:00,2343.14,2169.57,292.30325119284333,MH,2024-09
S,2024-09-07 05:00:00,2024-09-07 12:00:00,2169.57,2245.50495,-143.9999999999997,SL,2024-09
L,2024-09-07 14:00:00,2024-09-08 02:00:00,2263.59,2281.64,27.896235625709117,MH,2024-09
L,2024-09-08 13:00:00,2024-09-09 01:00:00,2296.53,2280.69,-31.589450170474837,MH,2024-09
L,2024-09-11 03:00:00,2024-09-11 15:00:00,2368.0,2340.42,-50.58783783783772,MH,2024-09
L,2024-09-13 04:00:00,2024-09-13 16:00:00,2360.0,2341.63,-35.1355932203388,MH,2024-09
S,2024-09-15 03:00:00,2024-09-15 15:00:00,2406.42,2421.6,-29.232503054329396,MH,2024-09
S,2024-09-16 06:00:00,2024-09-16 18:00:00,2352.31,2302.42,80.83575719186649,MH,2024-09
L,2024-09-17 14:00:00,2024-09-18 02:00:00,2300.69,2348.85,79.73140231843465,MH,2024-09
S,2024-09-18 09:00:00,2024-09-18 21:00:00,2322.72,2294.09,45.30426396638365,MH,2024-09
L,2024-09-19 09:00:00,2024-09-19 21:00:00,2397.32,2431.42,52.89686816945574,MH,2024-09
L,2024-09-20 15:00:00,2024-09-21 03:00:00,2562.56,2540.0,-39.21478521478513,MH,2024-09
S,2024-09-24 09:00:00,2024-09-24 21:00:00,2627.03,2632.72,-12.663776203544838,MH,2024-09
S,2024-09-24 21:00:00,2024-09-25 09:00:00,2631.43,2648.05,-29.263829932774723,MH,2024-09
S,2024-09-25 14:00:00,2024-09-26 02:00:00,2623.32,2581.5,59.76652486162597,MH,2024-09
S,2024-09-28 15:00:00,2024-09-29 03:00:00,2678.04,2676.83,-2.1927080999536432,MH,2024-09
S,2024-09-29 15:00:00,2024-09-30 03:00:00,2649.17,2665.65,-28.88326532461113,MH,2024-09
S,2024-09-30 19:00:00,2024-10-01 07:00:00,2604.62,2601.49,0.8068432247316064,MH,2024-10
L,2024-10-01 15:00:00,2024-10-01 22:00:00,2655.74,2562.7890999999995,-144.00000000000043,SL,2024-10
S,2024-10-01 22:00:00,2024-10-02 10:00:00,2579.72,2491.55,132.712511435349,MH,2024-10
S,2024-10-02 21:00:00,2024-10-03 09:00:00,2434.27,2383.53,79.37612508061929,MH,2024-10
S,2024-10-03 17:00:00,2024-10-04 05:00:00,2336.23,2349.45,-26.63475770793081,MH,2024-10
S,2024-10-05 08:00:00,2024-10-05 20:00:00,2413.38,2421.68,-17.756640064970668,MH,2024-10
L,2024-10-07 10:00:00,2024-10-07 22:00:00,2495.94,2497.42,-1.6281481125347272,MH,2024-10
L,2024-10-07 23:00:00,2024-10-08 06:00:00,2497.43,2410.01995,-143.99999999999994,SL,2024-10
S,2024-10-10 05:00:00,2024-10-10 17:00:00,2355.0,2385.94,-56.552016985138096,MH,2024-10
L,2024-10-11 10:00:00,2024-10-11 22:00:00,2405.79,2431.12,38.115064074586606,MH,2024-10
